assignment_id,employee_id,client_id,assignment_start_date,assignment_end_date,assignment_status,position,commute_minutes,contract_type,renewal_flag,replacement_flag,assignment_reason
ASG000001,DUD100001,CLI0283,2023-10-26,NULL,Active,Trainer,85,Six-Month,0,0,Client Request
ASG000002,DUD100002,CLI0281,2023-08-08,NULL,Active,Experienced Teacher,61,Annual,0,0,Client Request
ASG000003,DUD100003,CLI0059,2021-01-16,2021-04-30,Ended,ALT / English Teacher,101,Three-Month,0,0,Replacement
ASG000004,DUD100003,CLI0230,2021-05-12,2022-09-16,Transferred,Experienced Teacher,18,Annual,0,0,Transfer
ASG000005,DUD100004,CLI0055,2021-05-05,2022-09-28,Completed,ALT / English Teacher,74,Monthly,0,0,Client Request
ASG000006,DUD100005,CLI0058,2023-01-28,2024-01-01,Transferred,Experienced Teacher,72,Annual,0,0,Client Request
ASG000007,DUD100006,CLI0277,2023-06-08,NULL,Active,ALT / English Teacher,80,Monthly,0,0,Replacement
ASG000008,DUD100007,CLI0236,2025-08-28,2027-01-29,Completed,ALT / English Teacher,82,Monthly,0,0,Staffing Demand
ASG000009,DUD100007,CLI0288,2027-02-12,2028-07-25,Ended,ALT / English Teacher,108,Annual,0,0,Transfer
ASG000010,DUD100007,CLI0277,2028-08-20,NULL,Active,ALT / English Teacher,100,Annual,0,0,Staffing Demand
ASG000011,DUD100008,CLI0151,2025-01-03,NULL,Active,ALT / English Teacher,96,Annual,0,0,Transfer
ASG000012,DUD100009,CLI0006,2023-08-09,2024-10-14,Renewed,Experienced Teacher,86,Six-Month,0,0,Staffing Demand
ASG000013,DUD100010,CLI0245,2023-07-04,NULL,Active,Experienced Teacher,50,Three-Month,0,0,Client Request
ASG000014,DUD100011,CLI0198,2025-10-22,NULL,Active,Experienced Teacher,98,Six-Month,0,0,Client Request
ASG000015,DUD100012,CLI0167,2024-04-27,NULL,Active,ALT / English Teacher,31,Annual,0,0,Transfer
ASG000016,DUD100013,CLI0028,2022-06-19,2023-04-05,Ended,Senior Teacher,82,Six-Month,0,0,Replacement
ASG000017,DUD100013,CLI0002,2023-04-30,2023-12-24,Completed,Experienced Teacher,108,Three-Month,0,0,Replacement
ASG000018,DUD100014,CLI0258,2026-03-14,2027-04-10,Completed,ALT / English Teacher,113,Annual,0,0,Initial Assignment
ASG000019,DUD100014,CLI0291,2027-05-09,2028-07-01,Completed,Experienced Teacher,93,Three-Month,0,0,Staffing Demand
ASG000020,DUD100015,CLI0268,2021-11-13,2022-11-13,Renewed,ALT / English Teacher,77,Monthly,0,0,Client Request
ASG000021,DUD100015,CLI0039,2022-11-26,2023-12-03,Completed,ALT / English Teacher,24,Three-Month,0,0,Initial Assignment
ASG000022,DUD100016,CLI0226,2022-02-14,2022-11-13,Transferred,Experienced Teacher,77,Three-Month,0,0,Initial Assignment
ASG000023,DUD100016,CLI0279,2022-11-29,NULL,Active,ALT / English Teacher,85,Three-Month,0,0,Staffing Demand
ASG000024,DUD100017,CLI0242,2023-08-24,NULL,Active,ALT / English Teacher,57,Six-Month,0,0,Transfer
ASG000025,DUD100018,CLI0156,2025-05-26,NULL,Active,ALT / English Teacher,75,Six-Month,0,0,Staffing Demand
ASG000026,DUD100019,CLI0017,2022-08-14,2023-10-02,Renewed,ALT / English Teacher,90,Monthly,0,0,Initial Assignment
ASG000027,DUD100019,CLI0156,2023-10-03,NULL,Active,Experienced Teacher,20,Annual,0,0,Transfer
ASG000028,DUD100020,CLI0247,2022-10-26,2024-02-14,Completed,Trainer,112,Annual,0,0,Replacement
ASG000029,DUD100020,CLI0027,2024-03-12,NULL,Active,ALT / English Teacher,96,Three-Month,0,0,Client Request
ASG000030,DUD100021,CLI0045,2025-03-22,2026-07-13,Renewed,ALT / English Teacher,93,Monthly,0,0,Client Request
ASG000031,DUD100021,CLI0158,2026-08-05,NULL,Active,ALT / English Teacher,54,Annual,0,0,Initial Assignment
ASG000032,DUD100022,CLI0218,2025-04-17,2025-10-08,Ended,Senior Teacher,109,Three-Month,0,0,Replacement
ASG000033,DUD100023,CLI0102,2025-07-20,NULL,Active,ALT / English Teacher,100,Six-Month,0,0,Replacement
ASG000034,DUD100024,CLI0027,2022-04-01,NULL,Active,ALT / English Teacher,28,Monthly,0,0,Replacement
ASG000035,DUD100025,CLI0075,2022-05-23,NULL,Active,ALT / English Teacher,50,Annual,0,0,Transfer
ASG000036,DUD100026,CLI0118,2022-10-29,2023-01-29,Renewed,Trainer,20,Monthly,0,0,Replacement
ASG000037,DUD100026,CLI0006,2023-02-08,2024-02-16,Transferred,ALT / English Teacher,47,Six-Month,0,0,Client Request
ASG000038,DUD100027,CLI0243,2024-02-08,2024-08-04,Renewed,ALT / English Teacher,62,Three-Month,0,0,Initial Assignment
ASG000039,DUD100028,CLI0288,2025-10-12,2026-03-16,Renewed,ALT / English Teacher,104,Annual,0,0,Initial Assignment
ASG000040,DUD100028,CLI0056,2026-04-13,2027-05-22,Renewed,Experienced Teacher,101,Six-Month,0,0,Client Request
ASG000041,DUD100028,CLI0141,2027-06-14,NULL,Active,Senior Teacher,119,Annual,0,0,Replacement
ASG000042,DUD100029,CLI0118,2024-12-31,NULL,Active,ALT / English Teacher,44,Three-Month,0,0,Initial Assignment
ASG000043,DUD100030,CLI0159,2022-11-02,2023-07-21,Renewed,Experienced Teacher,62,Three-Month,0,0,Staffing Demand
ASG000044,DUD100030,CLI0271,2023-08-02,2024-09-17,Completed,Experienced Teacher,116,Annual,0,0,Replacement
ASG000045,DUD100031,CLI0127,2023-04-03,NULL,Active,ALT / English Teacher,34,Annual,0,0,Staffing Demand
ASG000046,DUD100032,CLI0036,2024-12-11,NULL,Active,Experienced Teacher,44,Annual,0,0,Transfer
ASG000047,DUD100033,CLI0168,2026-02-15,2027-06-26,Completed,ALT / English Teacher,87,Six-Month,0,0,Client Request
ASG000048,DUD100033,CLI0098,2027-07-11,NULL,Active,ALT / English Teacher,92,Annual,0,0,Replacement
ASG000049,DUD100034,CLI0172,2021-01-27,2021-11-14,Ended,Senior Teacher,17,Three-Month,0,0,Client Request
ASG000050,DUD100034,CLI0029,2021-11-21,2022-12-21,Renewed,Experienced Teacher,44,Monthly,0,0,Replacement
ASG000051,DUD100034,CLI0130,2022-12-29,2023-04-10,Ended,ALT / English Teacher,73,Monthly,0,0,Staffing Demand
ASG000052,DUD100035,CLI0252,2024-03-16,NULL,Active,ALT / English Teacher,113,Monthly,0,0,Transfer
ASG000053,DUD100036,CLI0277,2023-01-20,NULL,Active,ALT / English Teacher,97,Six-Month,0,0,Initial Assignment
ASG000054,DUD100037,CLI0289,2022-08-21,2024-01-26,Completed,Experienced Teacher,16,Monthly,0,0,Client Request
ASG000055,DUD100037,CLI0139,2024-01-29,2024-05-06,Completed,Experienced Teacher,56,Monthly,0,0,Replacement
ASG000056,DUD100038,CLI0035,2023-11-28,NULL,Active,ALT / English Teacher,26,Six-Month,0,0,Replacement
ASG000057,DUD100039,CLI0297,2023-10-25,NULL,Active,ALT / English Teacher,41,Monthly,0,0,Client Request
ASG000058,DUD100040,CLI0174,2023-08-29,2024-05-09,Renewed,ALT / English Teacher,75,Three-Month,0,0,Replacement
ASG000059,DUD100041,CLI0214,2022-09-01,2024-02-07,Ended,ALT / English Teacher,63,Annual,0,0,Initial Assignment
ASG000060,DUD100041,CLI0205,2024-02-17,NULL,Active,ALT / English Teacher,29,Three-Month,0,0,Staffing Demand
ASG000061,DUD100042,CLI0099,2023-04-26,2023-12-19,Completed,Experienced Teacher,51,Annual,0,0,Staffing Demand
ASG000062,DUD100042,CLI0029,2023-12-25,NULL,Active,Trainer,62,Monthly,0,0,Client Request
ASG000063,DUD100043,CLI0117,2025-04-22,NULL,Active,ALT / English Teacher,79,Annual,0,0,Staffing Demand
ASG000064,DUD100044,CLI0008,2021-12-08,NULL,Active,Senior Teacher,105,Annual,0,0,Transfer
ASG000065,DUD100045,CLI0106,2025-09-13,2027-01-18,Ended,Senior Teacher,43,Monthly,0,0,Staffing Demand
ASG000066,DUD100045,CLI0280,2027-01-27,NULL,Active,ALT / English Teacher,52,Annual,0,0,Replacement
ASG000067,DUD100046,CLI0280,2026-01-03,2026-05-07,Renewed,ALT / English Teacher,91,Annual,0,0,Initial Assignment
ASG000068,DUD100047,CLI0254,2024-06-30,NULL,Active,ALT / English Teacher,89,Annual,0,0,Client Request
ASG000069,DUD100048,CLI0027,2022-05-23,NULL,Active,Senior Teacher,67,Monthly,0,0,Transfer
ASG000070,DUD100049,CLI0290,2024-02-23,NULL,Active,ALT / English Teacher,37,Three-Month,0,0,Staffing Demand
ASG000071,DUD100050,CLI0119,2021-12-11,NULL,Active,Experienced Teacher,106,Annual,0,0,Replacement
ASG000072,DUD100051,CLI0131,2021-06-03,2022-07-02,Ended,ALT / English Teacher,67,Annual,0,0,Replacement
ASG000073,DUD100052,CLI0007,2024-01-23,NULL,Active,Experienced Teacher,58,Six-Month,0,0,Client Request
ASG000074,DUD100053,CLI0142,2022-03-13,NULL,Active,Senior Teacher,93,Six-Month,0,0,Transfer
ASG000075,DUD100054,CLI0122,2024-01-12,NULL,Active,Senior Teacher,70,Annual,0,0,Staffing Demand
ASG000076,DUD100055,CLI0142,2022-05-03,2023-09-10,Completed,ALT / English Teacher,45,Three-Month,0,0,Client Request
ASG000077,DUD100055,CLI0095,2023-09-12,2024-09-21,Transferred,ALT / English Teacher,34,Six-Month,0,0,Client Request
ASG000078,DUD100055,CLI0172,2024-10-03,NULL,Active,Experienced Teacher,112,Monthly,0,0,Initial Assignment
ASG000079,DUD100056,CLI0228,2021-01-13,2021-07-20,Renewed,Trainer,104,Annual,0,0,Transfer
ASG000080,DUD100056,CLI0097,2021-07-22,2022-04-14,Ended,ALT / English Teacher,45,Monthly,0,0,Initial Assignment
ASG000081,DUD100057,CLI0165,2021-04-11,2021-08-10,Renewed,ALT / English Teacher,77,Six-Month,0,0,Client Request
ASG000082,DUD100058,CLI0075,2024-07-06,NULL,Active,ALT / English Teacher,115,Annual,0,0,Transfer
ASG000083,DUD100059,CLI0089,2024-09-18,2026-01-13,Ended,ALT / English Teacher,67,Three-Month,0,0,Client Request
ASG000084,DUD100060,CLI0221,2025-04-22,NULL,Active,Experienced Teacher,37,Six-Month,0,0,Replacement
ASG000085,DUD100061,CLI0119,2022-10-31,2023-08-15,Completed,Experienced Teacher,61,Annual,0,0,Initial Assignment
ASG000086,DUD100061,CLI0168,2023-08-31,NULL,Active,Experienced Teacher,41,Six-Month,0,0,Initial Assignment
ASG000087,DUD100062,CLI0232,2022-01-10,NULL,Active,ALT / English Teacher,34,Monthly,0,0,Transfer
ASG000088,DUD100063,CLI0286,2023-12-07,2025-04-10,Renewed,ALT / English Teacher,28,Annual,0,0,Client Request
ASG000089,DUD100064,CLI0033,2022-08-21,NULL,Active,ALT / English Teacher,20,Annual,0,0,Initial Assignment
ASG000090,DUD100065,CLI0055,2024-05-16,2024-12-31,Renewed,ALT / English Teacher,15,Six-Month,0,0,Transfer
ASG000091,DUD100066,CLI0272,2025-03-01,2026-01-09,Completed,Experienced Teacher,20,Annual,0,0,Staffing Demand
ASG000092,DUD100066,CLI0151,2026-02-06,2026-08-16,Transferred,ALT / English Teacher,31,Six-Month,0,0,Replacement
ASG000093,DUD100066,CLI0166,2026-09-07,NULL,Active,ALT / English Teacher,111,Annual,0,0,Replacement
ASG000094,DUD100067,CLI0282,2023-05-11,2024-09-27,Renewed,ALT / English Teacher,104,Annual,0,0,Initial Assignment
ASG000095,DUD100068,CLI0129,2021-10-29,2022-08-02,Transferred,ALT / English Teacher,62,Six-Month,0,0,Transfer
ASG000096,DUD100068,CLI0225,2022-08-16,NULL,Active,Senior Teacher,70,Monthly,0,0,Transfer
ASG000097,DUD100069,CLI0135,2023-11-07,2024-09-04,Ended,ALT / English Teacher,37,Monthly,0,0,Client Request
ASG000098,DUD100069,CLI0297,2024-09-17,NULL,Active,Senior Teacher,89,Monthly,0,0,Staffing Demand
ASG000099,DUD100070,CLI0210,2026-03-06,2026-08-08,Ended,Experienced Teacher,34,Six-Month,0,0,Initial Assignment
ASG000100,DUD100070,CLI0062,2026-09-02,2027-09-12,Renewed,Senior Teacher,54,Monthly,0,0,Transfer
ASG000101,DUD100071,CLI0091,2023-08-22,NULL,Active,Senior Teacher,92,Annual,0,0,Client Request
ASG000102,DUD100072,CLI0203,2021-08-23,2022-03-31,Ended,Experienced Teacher,18,Monthly,0,0,Transfer
ASG000103,DUD100072,CLI0260,2022-04-08,2022-10-12,Ended,ALT / English Teacher,80,Annual,0,0,Staffing Demand
ASG000104,DUD100073,CLI0270,2026-01-11,NULL,Active,ALT / English Teacher,36,Monthly,0,0,Client Request
ASG000105,DUD100074,CLI0034,2024-02-17,NULL,Active,Experienced Teacher,65,Six-Month,0,0,Client Request
ASG000106,DUD100075,CLI0238,2024-10-29,NULL,Active,ALT / English Teacher,28,Annual,0,0,Replacement
ASG000107,DUD100076,CLI0157,2023-11-03,2024-08-13,Ended,ALT / English Teacher,37,Six-Month,0,0,Replacement
ASG000108,DUD100077,CLI0104,2021-06-03,NULL,Active,ALT / English Teacher,46,Six-Month,0,0,Client Request
ASG000109,DUD100078,CLI0265,2022-01-12,2023-05-19,Renewed,ALT / English Teacher,94,Annual,0,0,Replacement
ASG000110,DUD100079,CLI0152,2025-05-27,2025-12-25,Completed,ALT / English Teacher,66,Three-Month,0,0,Transfer
ASG000111,DUD100080,CLI0022,2022-05-07,NULL,Active,ALT / English Teacher,109,Monthly,0,0,Staffing Demand
ASG000112,DUD100081,CLI0276,2023-04-07,2023-10-29,Ended,ALT / English Teacher,16,Six-Month,0,0,Staffing Demand
ASG000113,DUD100081,CLI0250,2023-11-14,NULL,Active,ALT / English Teacher,96,Six-Month,0,0,Client Request
ASG000114,DUD100082,CLI0151,2022-01-29,2022-12-05,Completed,ALT / English Teacher,103,Annual,0,0,Staffing Demand
ASG000115,DUD100082,CLI0265,2022-12-27,2023-12-05,Completed,ALT / English Teacher,107,Annual,0,0,Transfer
ASG000116,DUD100083,CLI0030,2021-10-12,NULL,Active,ALT / English Teacher,64,Six-Month,0,0,Transfer
ASG000117,DUD100084,CLI0152,2022-08-02,2023-04-30,Ended,ALT / English Teacher,68,Six-Month,0,0,Initial Assignment
ASG000118,DUD100084,CLI0037,2023-05-30,NULL,Active,Experienced Teacher,21,Three-Month,0,0,Transfer
ASG000119,DUD100085,CLI0268,2025-01-15,NULL,Active,ALT / English Teacher,96,Three-Month,0,0,Staffing Demand
ASG000120,DUD100086,CLI0008,2025-02-02,NULL,Active,ALT / English Teacher,98,Monthly,0,0,Transfer
ASG000121,DUD100087,CLI0165,2021-02-20,2021-10-26,Ended,Experienced Teacher,16,Monthly,0,0,Transfer
ASG000122,DUD100087,CLI0149,2021-10-28,2022-07-11,Transferred,ALT / English Teacher,80,Monthly,0,0,Staffing Demand
