application_id,candidate_id,application_date,position_applied,recruiter_id,screening_date,interview_date,offer_date,offer_response_date,rejection_date,application_status,rejection_reason
APP000001,CAN000079,2023-12-25,Senior Teacher,REC016,2024-01-02,2024-01-14,2024-01-16,2024-01-20,,Hired,
APP000002,CAN001248,2021-09-14,Experienced Teacher,REC006,2021-09-24,,,,2021-10-04,Rejected,Position Filled
APP000003,CAN000119,2021-02-13,Experienced Teacher,REC020,2021-02-16,2021-02-24,2021-02-27,2021-03-06,,Hired,
APP000004,CAN001038,2023-10-06,ALT / English Teacher,REC010,2023-10-07,2023-10-10,2023-10-11,2023-10-18,,Hired,
APP000005,CAN000564,2021-09-20,Senior Teacher,REC015,2021-09-30,2021-10-11,2021-10-12,2021-10-13,,Hired,
APP000006,CAN001612,2026-12-11,Experienced Teacher,REC002,2026-12-19,2027-01-02,2027-01-04,2027-01-11,,Hired,
APP000007,CAN001795,2025-05-12,Experienced Teacher,REC016,2025-05-22,2025-05-31,,,2025-06-05,Rejected,Experience
APP000008,CAN001842,2026-06-23,Senior Teacher,REC025,2026-07-01,,,,,Hired,
APP000009,CAN000172,2023-03-21,Senior Teacher,REC014,2023-03-24,2023-03-29,2023-03-31,2023-04-06,,Hired,
APP000010,CAN000908,2025-01-05,Senior Teacher,REC018,2025-01-07,2025-01-08,2025-01-14,2025-01-15,,Hired,
APP000011,CAN001021,2023-12-15,Experienced Teacher,REC003,,,,,,Withdrawn,
APP000012,CAN001459,2021-02-23,Senior Teacher,REC019,2021-03-02,2021-03-12,2021-03-19,2021-03-22,,Hired,
APP000013,CAN000838,2023-07-12,Senior Teacher,REC002,2023-07-21,2023-08-04,2023-08-08,2023-08-14,,Hired,
APP000014,CAN001372,2022-05-08,Experienced Teacher,REC008,2022-05-12,,,,,Hired,
APP000015,CAN000125,2024-09-02,Senior Teacher,REC004,2024-09-03,2024-09-13,2024-09-22,2024-09-27,,Hired,
APP000016,CAN001186,2023-05-08,ALT / English Teacher,REC004,2023-05-15,2023-05-16,2023-05-18,2023-05-24,,Hired,
APP000017,CAN001160,2025-07-07,Experienced Teacher,REC009,2025-07-09,2025-07-16,2025-07-18,2025-07-21,,Hired,
APP000018,CAN001103,2022-09-19,Experienced Teacher,REC023,2022-09-23,2022-09-24,2022-09-26,2022-09-29,,Hired,
APP000019,CAN001917,2023-11-26,ALT / English Teacher,REC016,2023-12-02,2023-12-06,2023-12-07,2023-12-13,,Hired,
APP000020,CAN001988,2026-03-10,Senior Teacher,REC018,2026-03-18,2026-03-26,,,2026-03-27,Rejected,Availability
APP000021,CAN000998,2025-10-14,Senior Teacher,REC021,2025-10-23,2025-10-25,,,2025-10-23,Rejected,Work Eligibility
APP000022,CAN001488,2022-10-24,Senior Teacher,REC008,2022-10-26,2022-11-06,2022-11-08,2022-11-15,,Hired,
