attendance_id,employee_id,assignment_id,attendance_date,attendance_status,absence_reason,approved_flag
ATD0000001,DUD100001,ASG000001,2024-04-06,Present,,True
ATD0000002,DUD100001,ASG000001,2024-04-24,Present,,True
ATD0000003,DUD100001,ASG000001,2024-04-28,Sick Leave,Illness,True
ATD0000004,DUD100001,ASG000001,2024-08-28,Sick Leave,Illness,True
ATD0000005,DUD100001,ASG000001,2024-11-05,Present,,True
ATD0000006,DUD100001,ASG000001,2024-11-30,Present,,True
ATD0000007,DUD100001,ASG000001,2025-07-05,Present,,True
ATD0000008,DUD100001,ASG000001,2025-07-06,Sick Leave,Illness,True
ATD0000009,DUD100001,ASG000001,2025-10-15,Present,,True
ATD0000010,DUD100001,ASG000001,2025-12-23,Present,,True
ATD0000011,DUD100001,ASG000001,2025-12-28,Present,,True
ATD0000012,DUD100001,ASG000001,2026-06-18,Present,,True
ATD0000013,DUD100002,ASG000002,2024-02-05,Present,,True
ATD0000014,DUD100002,ASG000002,2024-07-21,Present,,True
ATD0000015,DUD100002,ASG000002,2024-09-10,Paid Leave,Annual Leave,True
ATD0000016,DUD100002,ASG000002,2024-10-01,Present,,True
ATD0000017,DUD100002,ASG000002,2024-11-14,Present,,True
ATD0000018,DUD100002,ASG000002,2024-11-24,Present,,True
ATD0000019,DUD100002,ASG000002,2025-04-24,Present,,True
ATD0000020,DUD100002,ASG000002,2025-06-14,Absent,Personal Reasons,True
ATD0000021,DUD100002,ASG000002,2025-09-21,Present,,True
ATD0000022,DUD100002,ASG000002,2025-11-25,Present,,True
ATD0000023,DUD100002,ASG000002,2025-12-31,Present,,True
ATD0000024,DUD100002,ASG000002,2026-06-01,Present,,True
ATD0000025,DUD100003,ASG000003,2021-03-10,Present,,True
ATD0000026,DUD100003,ASG000003,2021-04-15,Present,,True
ATD0000027,DUD100003,ASG000003,2021-04-17,Present,,True
ATD0000028,DUD100003,ASG000004,2021-06-09,Present,,True
ATD0000029,DUD100003,ASG000004,2021-06-21,Present,,True
ATD0000030,DUD100003,ASG000004,2021-09-19,Present,,True
ATD0000031,DUD100003,ASG000004,2021-09-22,Present,,True
ATD0000032,DUD100003,ASG000004,2021-10-11,Present,,True
ATD0000033,DUD100003,ASG000004,2021-12-02,Present,,True
ATD0000034,DUD100003,ASG000004,2022-04-13,Present,,True
ATD0000035,DUD100003,ASG000004,2022-05-04,Present,,True
ATD0000036,DUD100003,ASG000004,2022-05-05,Present,,True
ATD0000037,DUD100003,ASG000004,2022-07-03,Present,,True
ATD0000038,DUD100003,ASG000004,2022-07-04,Present,,True
ATD0000039,DUD100003,ASG000004,2022-08-11,Present,,True
ATD0000040,DUD100004,ASG000005,2021-05-08,Present,,True
ATD0000041,DUD100004,ASG000005,2021-06-10,Present,,True
ATD0000042,DUD100004,ASG000005,2021-07-02,Present,,True
