client_feedback_id,client_id,assignment_id,employee_id,feedback_date,overall_satisfaction,teacher_performance,reliability,communication,lesson_quality,professionalism,assignment_satisfaction,renewal_intention,complaint_flag,complaint_category,comments
CFB0000001,CLI0283,ASG000001,DUD100001,2026-05-17,4,4,4,5,3,3,4,Yes,False,,
CFB0000002,CLI0283,ASG000001,DUD100001,2024-07-23,3,2,3,2,3,3,4,Yes,False,,
CFB0000003,CLI0281,ASG000002,DUD100002,2026-06-12,5,5,5,4,5,5,5,Yes,False,,
CFB0000004,CLI0281,ASG000002,DUD100002,2025-11-29,4,4,4,3,5,5,4,Yes,False,,
CFB0000005,CLI0281,ASG000002,DUD100002,2024-11-17,5,4,4,4,4,5,5,Yes,False,,
CFB0000006,CLI0059,ASG000003,DUD100003,2021-03-06,4,4,4,4,4,4,5,Yes,False,,
CFB0000007,CLI0230,ASG000004,DUD100003,2021-08-08,4,5,4,3,5,3,5,Yes,False,,
CFB0000008,CLI0230,ASG000004,DUD100003,2022-08-27,4,4,5,4,4,4,4,Maybe,False,,
CFB0000009,CLI0230,ASG000004,DUD100003,2022-01-07,4,4,4,4,4,4,4,Yes,False,,
CFB0000010,CLI0055,ASG000005,DUD100004,2021-08-11,5,4,5,4,5,5,5,Maybe,False,,
CFB0000011,CLI0055,ASG000005,DUD100004,2022-09-01,5,5,5,5,5,4,4,Yes,False,,
CFB0000012,CLI0055,ASG000005,DUD100004,2021-05-25,5,5,5,5,5,5,5,Yes,False,,
CFB0000013,CLI0055,ASG000005,DUD100004,2022-01-13,3,4,2,3,2,3,3,Maybe,True,Professionalism,
CFB0000014,CLI0058,ASG000006,DUD100005,2023-12-26,5,4,5,4,5,5,5,Yes,False,,
CFB0000015,CLI0277,ASG000007,DUD100006,2023-06-16,5,5,4,5,5,5,4,Yes,False,,
CFB0000016,CLI0277,ASG000007,DUD100006,2024-03-12,5,5,5,5,5,4,5,Yes,False,,
CFB0000017,CLI0277,ASG000007,DUD100006,2023-08-31,4,4,4,4,4,5,4,Maybe,False,,
CFB0000018,CLI0277,ASG000007,DUD100006,2024-10-21,4,4,4,4,5,4,3,Yes,False,,
CFB0000019,CLI0236,ASG000008,DUD100007,2026-04-11,3,3,3,2,3,3,2,Maybe,False,,
CFB0000020,CLI0236,ASG000008,DUD100007,2026-10-13,2,1,1,1,2,1,2,Maybe,False,,
CFB0000021,CLI0236,ASG000008,DUD100007,2026-01-08,5,4,4,5,5,5,5,Yes,False,,
CFB0000022,CLI0236,ASG000008,DUD100007,2026-07-04,5,4,5,4,4,5,5,Maybe,False,,
CFB0000023,CLI0288,ASG000009,DUD100007,2027-03-04,3,3,3,4,4,4,4,No,False,,
CFB0000024,CLI0277,ASG000010,DUD100007,2028-08-20,5,4,5,4,4,5,5,Maybe,False,,
CFB0000025,CLI0277,ASG000010,DUD100007,2028-08-20,5,5,4,5,5,5,5,Yes,False,,
CFB0000026,CLI0277,ASG000010,DUD100007,2028-08-20,2,2,3,2,2,2,2,Yes,True,Professionalism,
CFB0000027,CLI0277,ASG000010,DUD100007,2028-08-20,5,5,5,5,4,5,5,No,False,,
CFB0000028,CLI0151,ASG000011,DUD100008,2025-05-07,3,3,2,3,2,2,3,Maybe,False,,
CFB0000029,CLI0151,ASG000011,DUD100008,2026-04-12,4,4,4,4,5,4,4,Yes,False,,
CFB0000030,CLI0151,ASG000011,DUD100008,2026-04-10,2,3,2,2,2,1,2,Maybe,False,,
CFB0000031,CLI0006,ASG000012,DUD100009,2024-01-09,4,3,5,5,3,4,5,No,False,,
CFB0000032,CLI0006,ASG000012,DUD100009,2023-10-16,4,4,5,5,4,3,4,Yes,False,,
CFB0000033,CLI0245,ASG000013,DUD100010,2026-07-07,5,5,5,5,5,5,5,Yes,False,,
CFB0000034,CLI0245,ASG000013,DUD100010,2025-12-03,4,5,3,5,4,4,4,Yes,False,,
CFB0000035,CLI0198,ASG000014,DUD100011,2026-06-01,5,5,5,5,5,5,4,Yes,False,,
CFB0000036,CLI0167,ASG000015,DUD100012,2024-05-20,4,4,3,5,4,4,4,Yes,False,,
CFB0000037,CLI0167,ASG000015,DUD100012,2026-06-15,5,5,5,4,5,4,4,Yes,False,,
CFB0000038,CLI0167,ASG000015,DUD100012,2026-01-30,4,5,4,4,3,4,4,Yes,False,,
CFB0000039,CLI0028,ASG000016,DUD100013,2023-04-04,5,5,5,4,5,5,5,Yes,False,,
CFB0000040,CLI0028,ASG000016,DUD100013,2022-12-19,1,1,1,2,1,1,1,Yes,False,,
CFB0000041,CLI0028,ASG000016,DUD100013,2023-02-01,4,4,4,3,5,4,3,No,False,,
CFB0000042,CLI0028,ASG000016,DUD100013,2023-02-14,2,3,1,2,2,1,2,Maybe,False,,
CFB0000043,CLI0002,ASG000017,DUD100013,2023-07-29,5,5,5,4,5,4,5,Yes,False,,
CFB0000044,CLI0258,ASG000018,DUD100014,2026-12-17,4,3,4,3,4,5,5,Yes,False,,
CFB0000045,CLI0258,ASG000018,DUD100014,2027-03-08,5,5,4,5,5,4,4,Maybe,False,,
CFB0000046,CLI0258,ASG000018,DUD100014,2026-09-02,3,3,4,2,3,4,3,No,False,,
CFB0000047,CLI0258,ASG000018,DUD100014,2026-06-05,2,2,1,2,3,3,2,Yes,False,,
CFB0000048,CLI0291,ASG000019,DUD100014,2027-08-04,4,4,3,4,4,5,3,Yes,False,,
CFB0000049,CLI0291,ASG000019,DUD100014,2028-04-20,2,1,3,2,2,2,2,Yes,False,,
CFB0000050,CLI0291,ASG000019,DUD100014,2028-03-23,1,2,2,2,2,1,1,Maybe,True,Lesson Quality,
CFB0000051,CLI0291,ASG000019,DUD100014,2027-05-26,5,5,5,5,5,4,5,Maybe,False,,
CFB0000052,CLI0268,ASG000020,DUD100015,2021-11-19,5,4,5,5,5,5,4,Maybe,False,,
CFB0000053,CLI0268,ASG000020,DUD100015,2022-01-25,3,3,3,3,3,3,3,Maybe,False,,
CFB0000054,CLI0039,ASG000021,DUD100015,2023-10-02,4,5,3,4,4,3,4,Yes,False,,
CFB0000055,CLI0226,ASG000022,DUD100016,2022-04-13,5,5,5,4,4,4,5,Yes,False,,
CFB0000056,CLI0226,ASG000022,DUD100016,2022-11-01,2,2,2,2,2,1,2,No,True,Punctuality,
