client_id,client_name,client_type,prefecture,city,client_relationship_start_date,client_relationship_end_date,client_status
CLI0001,Takashima Elementary School,High School,Tokyo,Ota,2022-08-18,,Active
CLI0002,Mirai Junior High School,English School,Tokyo,Adachi,2024-02-06,,Active
CLI0003,Koganei High School,Public Elementary School,Saitama,Kawagoe,2025-06-06,,Active
CLI0004,Asahi Elementary School,Private School,Saitama,Koshigaya,2023-09-30,,Active
CLI0005,Shinmei Academy,Kindergarten,Chiba,Funabashi,2025-12-15,,Active
CLI0006,Hikari Academy,High School,Saitama,Koshigaya,2021-11-10,,Active
CLI0007,Kawaguchi Junior High School,Kindergarten,Chiba,Ichikawa,2022-08-29,,Active
CLI0008,Shinmei High School,Public Junior High School,Kanagawa,Yamato,2025-02-22,,Active
CLI0009,Hikari High School,English School,Tokyo,Kita,2019-09-15,,Active
CLI0010,Midori International School,Kindergarten,Chiba,Chiba,2022-09-04,,Active
CLI0011,Takashima High School,Kindergarten,Saitama,Kawagoe,2024-05-26,,Active
CLI0012,Akebono Education Center,Kindergarten,Chiba,Matsudo,2023-07-26,,Active
CLI0013,Hikari Education Center,Private School,Tokyo,Hachioji,2021-08-06,,Active
CLI0014,Meisei High School,English School,Tokyo,Itabashi,2020-02-25,,Active
CLI0015,Kita High School,Private School,Tokyo,Itabashi,2025-09-10,2026-08-22,Inactive
CLI0016,Ota Education Center,Public Elementary School,Chiba,Chiba,2020-07-04,,Active
CLI0017,Asahi Education Center,Private School,Kanagawa,Fujisawa,2023-03-24,,Active
CLI0018,Koganei Academy,High School,Tokyo,Ota,2022-07-07,2026-08-23,Inactive
CLI0019,Haruka Elementary School,Kindergarten,Saitama,Kawaguchi,2022-08-12,,Active
CLI0020,Sakura International School,Public Elementary School,Chiba,Kashiwa,2024-10-13,,Active
CLI0021,Sakura International School,Kindergarten,Kanagawa,Yokohama,2025-08-22,2027-08-07,Inactive
CLI0022,Kita Junior High School,High School,Saitama,Warabi,2020-11-12,,Active
CLI0023,Tsubaki Elementary School,English School,Chiba,Funabashi,2020-04-17,,Active
CLI0024,Hikari Academy,English School,Tokyo,Edogawa,2023-10-24,2027-03-01,Inactive
CLI0025,Tsubaki International School,Private School,Chiba,Funabashi,2023-12-05,,Active
CLI0026,Sakura High School,English School,Chiba,Chiba,2021-03-31,,Active
CLI0027,Akebono Elementary School,Private School,Chiba,Ichikawa,2020-02-03,,Active
CLI0028,Takashima Education Center,Private School,Tokyo,Hachioji,2021-08-21,2023-05-31,Inactive
