survey_id,employee_id,survey_date,overall_satisfaction,management_satisfaction,compensation_satisfaction,training_satisfaction,assignment_satisfaction,work_life_balance,career_satisfaction,commute_satisfaction,engagement_score,would_recommend,comments
SURV0000001,DUD100001,2021-04-24,4,4,5,4,4,4,5,4,4,True,
SURV0000002,DUD100001,2021-05-15,4,3,5,3,3,4,3,4,4,True,
SURV0000003,DUD100001,2021-06-16,3,3,4,2,4,2,2,4,2,False,
SURV0000004,DUD100001,2021-07-19,4,4,4,4,5,4,4,3,4,True,
SURV0000005,DUD100001,2021-08-06,5,5,5,5,5,4,5,5,5,True,
SURV0000006,DUD100001,2021-09-05,3,2,3,3,3,3,3,3,4,False,
SURV0000007,DUD100001,2021-10-03,4,4,4,4,5,4,4,5,4,True,
SURV0000008,DUD100001,2021-11-03,4,4,3,4,4,4,3,5,3,True,
SURV0000009,DUD100002,2023-10-05,2,3,3,2,2,2,3,1,2,False,
SURV0000010,DUD100002,2023-11-18,3,3,3,3,3,3,3,3,3,False,
SURV0000011,DUD100002,2023-12-07,5,4,5,5,4,5,5,5,5,True,
SURV0000012,DUD100002,2024-01-12,5,5,4,5,5,5,4,5,5,True,
SURV0000013,DUD100002,2024-02-27,4,4,4,5,4,4,5,5,3,True,
SURV0000014,DUD100002,2024-03-19,5,5,5,5,4,4,4,5,5,True,
SURV0000015,DUD100003,2021-05-23,4,5,3,5,4,4,3,4,4,True,
SURV0000016,DUD100003,2021-06-07,2,2,3,2,2,2,2,1,1,False,
SURV0000017,DUD100003,2021-07-17,2,3,2,3,2,2,3,1,3,False,
SURV0000018,DUD100003,2021-08-05,4,4,4,5,4,4,4,3,4,True,
SURV0000019,DUD100003,2021-09-04,4,4,5,4,4,5,4,4,3,True,
SURV0000020,DUD100003,2021-10-28,4,4,5,3,3,5,5,5,4,True,
SURV0000021,DUD100003,2021-11-21,4,4,3,5,4,3,4,5,5,True,
SURV0000022,DUD100004,2021-11-21,4,4,3,3,4,5,5,4,4,True,
SURV0000023,DUD100004,2021-12-07,4,4,4,3,3,3,4,5,5,True,
SURV0000024,DUD100004,2022-01-01,4,4,4,4,5,4,4,3,4,True,
SURV0000025,DUD100004,2022-02-14,1,1,1,1,1,2,1,1,1,False,
SURV0000026,DUD100004,2022-03-28,5,5,5,5,4,4,5,5,5,True,
SURV0000027,DUD100004,2022-04-17,4,4,4,3,4,4,3,4,4,True,
SURV0000028,DUD100004,2022-05-14,4,3,4,5,3,3,4,3,4,True,
SURV0000029,DUD100004,2022-06-09,4,5,5,4,3,4,4,4,4,True,
SURV0000030,DUD100005,2024-12-17,5,4,5,5,5,5,5,4,5,True,
SURV0000031,DUD100005,2025-01-06,3,3,3,3,4,4,3,3,4,False,
SURV0000032,DUD100005,2025-02-11,4,4,5,3,3,5,3,3,3,True,
SURV0000033,DUD100005,2025-03-21,5,4,5,5,4,5,4,5,5,True,
SURV0000034,DUD100005,2025-04-07,1,1,1,1,2,1,1,2,1,False,
SURV0000035,DUD100005,2025-05-06,3,4,3,3,2,3,4,3,4,False,
SURV0000036,DUD100005,2025-06-09,4,4,4,4,5,4,4,3,4,True,
SURV0000037,DUD100005,2025-07-26,3,3,4,4,3,3,3,3,2,False,
