employment_history_id,employee_id,employment_start_date,employment_end_date,employment_status,employment_type,position,career_level,start_reason,end_reason,assignment_status
EMPLOY000001,DUD100001,2024-01-19,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000002,DUD100002,2024-10-19,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000003,DUD100003,2024-03-08,2025-05-20,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Performance,Assigned
EMPLOY000004,DUD100004,2022-07-08,,Active,Full-time,Trainer,4,Initial Hire,,Assigned
EMPLOY000005,DUD100005,2023-05-15,2025-10-29,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Awaiting Assignment
EMPLOY000006,DUD100006,2022-08-08,,Active,Full-time,Senior Trainer,5,Initial Hire,,Assigned
EMPLOY000007,DUD100007,2024-08-06,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000008,DUD100008,2022-01-20,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000009,DUD100009,2024-07-22,2026-11-04,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Assigned
EMPLOY000010,DUD100010,2021-09-03,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000011,DUD100011,2024-12-10,,Active,Full-time,Senior Teacher,3,Initial Hire,,Assigned
EMPLOY000012,DUD100012,2026-08-10,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000013,DUD100013,2025-08-25,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000014,DUD100014,2021-12-20,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000015,DUD100015,2024-03-27,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000016,DUD100016,2024-02-19,,Active,Full-time,Senior Trainer,5,Initial Hire,,Assigned
EMPLOY000017,DUD100017,2021-01-13,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000018,DUD100018,2024-02-15,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000019,DUD100019,2023-09-20,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000020,DUD100020,2026-07-16,,Active,Full-time,Lead Trainer,6,Initial Hire,,Assigned
EMPLOY000021,DUD100021,2026-05-19,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Assigned
EMPLOY000022,DUD100022,2022-01-11,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000023,DUD100023,2022-11-02,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000024,DUD100024,2025-05-12,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Awaiting Assignment
EMPLOY000025,DUD100025,2025-03-25,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000026,DUD100026,2021-10-23,,Active,Full-time,Experienced Teacher,2,Initial Hire,,Awaiting Assignment
EMPLOY000027,DUD100027,2023-08-17,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000028,DUD100028,2025-05-24,2027-03-26,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,Awaiting Assignment
EMPLOY000029,DUD100029,2021-05-17,2023-07-01,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Career Change,Assigned
EMPLOY000030,DUD100030,2023-08-13,2024-08-01,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Contract End,Assigned
EMPLOY000031,DUD100031,2025-02-25,,Active,Full-time,ALT / English Teacher,1,Initial Hire,,Assigned
EMPLOY000032,DUD100032,2026-01-18,2028-04-26,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Career Change,Awaiting Assignment
