location_id,prefecture,city,area_name,latitude,longitude,region
LOC00001,Tokyo,Kita,Kita Education Area,35.2117087,139.8917168,Kanto
LOC00002,Kanagawa,Kawasaki,Kawasaki Education Area,36.0225176,139.3008269,Kanto
LOC00003,Kanagawa,Kawasaki,Kawasaki Education Area,35.6778897,139.6251234,Kanto
LOC00004,Saitama,Soka,Soka Education Area,35.7047392,140.123522,Kanto
LOC00005,Saitama,Soka,Soka Education Area,36.1981062,140.3512764,Kanto
LOC00006,Chiba,Urayasu,Urayasu Education Area,35.8746445,139.8118528,Kanto
LOC00007,Kanagawa,Kawasaki,Kawasaki Education Area,35.7121867,139.5788692,Kanto
LOC00008,Tokyo,Koganei,Koganei Education Area,35.7567231,139.4811777,Kanto
LOC00009,Chiba,Matsudo,Matsudo Education Area,35.2646297,140.0006085,Kanto
LOC00010,Saitama,Kawaguchi,Kawaguchi Education Area,36.0287142,139.8515163,Kanto
LOC00011,Tokyo,Nerima,Nerima Education Area,36.2857176,139.6775155,Kanto
LOC00012,Tokyo,Hachioji,Hachioji Education Area,35.934327,139.6960526,Kanto
LOC00013,Saitama,Kawaguchi,Kawaguchi Education Area,36.0241043,139.9112704,Kanto
LOC00014,Kanagawa,Fujisawa,Fujisawa Education Area,36.2577725,139.4034698,Kanto
LOC00015,Tokyo,Kita,Kita Education Area,35.4370728,140.3031139,Kanto
LOC00016,Chiba,Chiba,Chiba Education Area,36.1836205,139.9126078,Kanto
LOC00017,Kanagawa,Fujisawa,Fujisawa Education Area,35.6116438,139.9333229,Kanto
LOC00018,Kanagawa,Fujisawa,Fujisawa Education Area,36.2073862,139.4682768,Kanto
LOC00019,Kanagawa,Kawasaki,Kawasaki Education Area,36.2972571,140.3484693,Kanto
LOC00020,Tokyo,Adachi,Adachi Education Area,36.159935,140.0319617,Kanto
LOC00021,Chiba,Ichikawa,Ichikawa Education Area,36.0611406,139.7591313,Kanto
LOC00022,Saitama,Warabi,Warabi Education Area,35.4257362,139.3159236,Kanto
LOC00023,Chiba,Matsudo,Matsudo Education Area,35.562479,140.3614774,Kanto
LOC00024,Saitama,Soka,Soka Education Area,35.5182601,140.2273434,Kanto
LOC00025,Kanagawa,Sagamihara,Sagamihara Education Area,35.6343049,139.9399522,Kanto
LOC00026,Saitama,Saitama,Saitama Education Area,35.5681698,140.1120169,Kanto
LOC00027,Chiba,Ichikawa,Ichikawa Education Area,35.4188664,140.1832674,Kanto
LOC00028,Saitama,Kawagoe,Kawagoe Education Area,36.0551239,139.9783551,Kanto
LOC00029,Chiba,Chiba,Chiba Education Area,35.4198306,139.7520756,Kanto
LOC00030,Kanagawa,Sagamihara,Sagamihara Education Area,36.1601397,139.7668047,Kanto
LOC00031,Chiba,Chiba,Chiba Education Area,36.0551062,139.4004186,Kanto
LOC00032,Chiba,Funabashi,Funabashi Education Area,36.2164958,139.5449991,Kanto
LOC00033,Tokyo,Tachikawa,Tachikawa Education Area,35.9757791,139.7409992,Kanto
LOC00034,Saitama,Koshigaya,Koshigaya Education Area,35.5402676,139.4401458,Kanto
LOC00035,Tokyo,Hachioji,Hachioji Education Area,35.8669722,140.346679,Kanto
LOC00036,Chiba,Kashiwa,Kashiwa Education Area,35.7588849,139.3522776,Kanto
LOC00037,Kanagawa,Yokohama,Yokohama Education Area,36.2478214,139.3157462,Kanto
LOC00038,Kanagawa,Kawasaki,Kawasaki Education Area,35.7575247,139.40849,Kanto
LOC00039,Saitama,Soka,Soka Education Area,35.4234432,139.3903327,Kanto
LOC00040,Kanagawa,Kawasaki,Kawasaki Education Area,36.1644717,140.0361674,Kanto
LOC00041,Chiba,Funabashi,Funabashi Education Area,35.6514354,139.802402,Kanto
LOC00042,Saitama,Toda,Toda Education Area,35.2425089,140.1021291,Kanto
LOC00043,Chiba,Funabashi,Funabashi Education Area,36.1928906,139.3985668,Kanto
LOC00044,Tokyo,Itabashi,Itabashi Education Area,35.251961,140.3009003,Kanto
LOC00045,Saitama,Toda,Toda Education Area,35.9706441,140.0020015,Kanto
LOC00046,Saitama,Saitama,Saitama Education Area,35.9301215,140.2567613,Kanto
LOC00047,Chiba,Ichikawa,Ichikawa Education Area,35.6679743,139.7483764,Kanto
LOC00048,Kanagawa,Yamato,Yamato Education Area,35.5675599,140.0822602,Kanto
LOC00049,Chiba,Funabashi,Funabashi Education Area,35.6764555,139.7436978,Kanto
LOC00050,Chiba,Matsudo,Matsudo Education Area,35.7137886,139.5850289,Kanto
LOC00051,Kanagawa,Sagamihara,Sagamihara Education Area,35.9428643,139.5012491,Kanto
LOC00052,Kanagawa,Fujisawa,Fujisawa Education Area,36.2411103,139.9598057,Kanto
LOC00053,Tokyo,Edogawa,Edogawa Education Area,35.6857328,139.3038209,Kanto
LOC00054,Kanagawa,Fujisawa,Fujisawa Education Area,35.8783094,139.8021465,Kanto
LOC00055,Tokyo,Koganei,Koganei Education Area,35.5713309,140.0660213,Kanto
LOC00056,Chiba,Kashiwa,Kashiwa Education Area,35.2874718,140.0810488,Kanto
LOC00057,Tokyo,Kita,Kita Education Area,36.0516583,139.451749,Kanto
LOC00058,Tokyo,Kita,Kita Education Area,35.8418071,139.7523596,Kanto
LOC00059,Chiba,Urayasu,Urayasu Education Area,35.6761443,139.8282016,Kanto
LOC00060,Tokyo,Nerima,Nerima Education Area,35.9145381,140.0428681,Kanto
LOC00061,Chiba,Funabashi,Funabashi Education Area,35.4646112,139.8284696,Kanto
LOC00062,Kanagawa,Yokohama,Yokohama Education Area,35.2385395,139.3745533,Kanto
LOC00063,Tokyo,Itabashi,Itabashi Education Area,35.5927075,139.3887209,Kanto
LOC00064,Kanagawa,Kawasaki,Kawasaki Education Area,35.9276748,140.3348546,Kanto
LOC00065,Chiba,Ichikawa,Ichikawa Education Area,35.2867802,139.304297,Kanto
LOC00066,Saitama,Warabi,Warabi Education Area,35.2996931,140.0700192,Kanto
LOC00067,Kanagawa,Yokohama,Yokohama Education Area,35.9622916,139.8446542,Kanto
LOC00068,Saitama,Soka,Soka Education Area,36.0243507,139.9138998,Kanto
LOC00069,Chiba,Funabashi,Funabashi Education Area,35.3592558,139.4830333,Kanto
LOC00070,Chiba,Ichikawa,Ichikawa Education Area,35.655239,139.9507598,Kanto
LOC00071,Saitama,Saitama,Saitama Education Area,36.0715535,139.8803143,Kanto
LOC00072,Kanagawa,Sagamihara,Sagamihara Education Area,35.5822927,139.5262096,Kanto
LOC00073,Saitama,Warabi,Warabi Education Area,35.4449695,139.9436849,Kanto
LOC00074,Chiba,Funabashi,Funabashi Education Area,35.4628243,139.5410021,Kanto
LOC00075,Chiba,Chiba,Chiba Education Area,35.2454409,140.0733714,Kanto
LOC00076,Kanagawa,Sagamihara,Sagamihara Education Area,35.40603,139.8911647,Kanto
LOC00077,Kanagawa,Yamato,Yamato Education Area,35.4386245,139.7235213,Kanto
LOC00078,Saitama,Soka,Soka Education Area,35.622158,140.0750246,Kanto
LOC00079,Kanagawa,Yokohama,Yokohama Education Area,35.8887207,139.9267108,Kanto
LOC00080,Chiba,Chiba,Chiba Education Area,35.6829721,140.2896511,Kanto
LOC00081,Saitama,Kawaguchi,Kawaguchi Education Area,36.0618912,140.2937002,Kanto
LOC00082,Saitama,Toda,Toda Education Area,35.3169626,139.6958607,Kanto
LOC00083,Chiba,Matsudo,Matsudo Education Area,35.8361138,139.866912,Kanto
LOC00084,Tokyo,Hachioji,Hachioji Education Area,35.8383253,139.5605468,Kanto
LOC00085,Chiba,Funabashi,Funabashi Education Area,35.4848745,140.0073366,Kanto
LOC00086,Kanagawa,Fujisawa,Fujisawa Education Area,36.0160096,140.2915518,Kanto
LOC00087,Kanagawa,Kawasaki,Kawasaki Education Area,36.0030463,139.444415,Kanto
LOC00088,Kanagawa,Yokohama,Yokohama Education Area,35.7778416,139.3547851,Kanto
LOC00089,Tokyo,Ota,Ota Education Area,35.3841145,139.8734878,Kanto
LOC00090,Saitama,Koshigaya,Koshigaya Education Area,35.5344777,140.0662573,Kanto
LOC00091,Tokyo,Katsushika,Katsushika Education Area,35.5899295,139.7013593,Kanto
LOC00092,Chiba,Matsudo,Matsudo Education Area,36.2285799,139.7210282,Kanto
LOC00093,Saitama,Toda,Toda Education Area,35.6060459,139.4934416,Kanto
