offboarding_id,employee_id,employment_history_id,offboarding_date,departure_type,leaving_reason,exit_interview_completed,exit_satisfaction,would_recommend,would_return,rehire_eligible,comments
OFF000001,DUD100003,EMPLOY000003,2025-05-20,Involuntary,Policy Violation,True,5,True,False,False,
OFF000002,DUD100005,EMPLOY000005,2025-10-29,Involuntary,Client Request,True,1,True,False,False,
OFF000003,DUD100009,EMPLOY000009,2026-11-04,Voluntary,Commute,False,,,,True,
OFF000004,DUD100028,EMPLOY000028,2027-03-26,Voluntary,Compensation,True,5,True,True,True,
OFF000005,DUD100029,EMPLOY000029,2023-07-01,Voluntary,Personal Reasons,True,2,True,True,True,
OFF000006,DUD100030,EMPLOY000030,2024-08-01,Voluntary,Returning Home,True,2,False,True,True,
OFF000007,DUD100032,EMPLOY000032,2028-04-26,Involuntary,Performance,False,,,,False,
OFF000008,DUD100035,EMPLOY000035,2026-02-21,Voluntary,Personal Reasons,True,2,False,False,True,
OFF000009,DUD100038,EMPLOY000038,2023-12-13,Voluntary,Career Change,True,1,True,True,True,
OFF000010,DUD100043,EMPLOY000043,2021-12-25,Involuntary,Performance,True,1,False,True,False,
OFF000011,DUD100047,EMPLOY000047,2022-11-19,Voluntary,Assignment Issues,False,,,,True,
OFF000012,DUD100052,EMPLOY000052,2025-01-24,Voluntary,Assignment Issues,True,1,True,True,True,
OFF000013,DUD100053,EMPLOY000053,2024-02-21,Voluntary,Assignment Issues,True,2,True,True,True,
OFF000014,DUD100055,EMPLOY000055,2024-12-20,Voluntary,Assignment Issues,True,2,True,False,True,
OFF000015,DUD100059,EMPLOY000059,2025-01-07,Involuntary,Policy Violation,True,5,True,True,False,
OFF000016,DUD100063,EMPLOY000063,2022-02-01,Involuntary,Attendance,True,4,True,False,False,
OFF000017,DUD100069,EMPLOY000069,2027-07-03,Voluntary,Assignment Issues,True,5,True,False,True,
OFF000018,DUD100077,EMPLOY000077,2025-07-22,Voluntary,Career Development,True,2,True,False,True,
OFF000019,DUD100078,EMPLOY000078,2026-11-07,Voluntary,Career Change,True,4,True,True,True,
OFF000020,DUD100080,EMPLOY000080,2025-09-24,Voluntary,Career Change,True,2,True,True,True,
OFF000021,DUD100081,EMPLOY000081,2023-09-12,Involuntary,Contract End,True,1,True,True,False,
OFF000022,DUD100087,EMPLOY000087,2024-12-23,Voluntary,Returning Home,True,2,False,False,True,
OFF000023,DUD100091,EMPLOY000091,2027-02-11,Involuntary,Performance,True,2,True,True,False,
OFF000024,DUD100097,EMPLOY000097,2024-07-25,Involuntary,Policy Violation,True,2,True,True,False,
OFF000025,DUD100104,EMPLOY000104,2024-02-02,Voluntary,Career Development,True,3,True,False,True,
OFF000026,DUD100105,EMPLOY000105,2028-03-18,Voluntary,Returning Home,True,4,True,False,True,
OFF000027,DUD100106,EMPLOY000106,2023-01-16,Voluntary,Returning Home,True,4,True,True,True,
OFF000028,DUD100112,EMPLOY000112,2025-05-23,Voluntary,Commute,True,4,True,True,True,
OFF000029,DUD100113,EMPLOY000113,2022-02-15,Involuntary,Policy Violation,True,3,True,False,False,
OFF000030,DUD100120,EMPLOY000120,2024-06-23,Voluntary,Career Change,True,4,True,True,True,
OFF000031,DUD100121,EMPLOY000121,2027-03-28,Voluntary,Commute,True,2,True,True,True,
OFF000032,DUD100123,EMPLOY000123,2024-06-25,Involuntary,Contract End,True,3,True,False,False,
OFF000033,DUD100124,EMPLOY000124,2024-06-30,Involuntary,Attendance,True,5,True,True,False,
OFF000034,DUD100139,EMPLOY000139,2024-04-26,Voluntary,Career Change,True,4,True,False,True,
OFF000035,DUD100143,EMPLOY000143,2023-02-25,Voluntary,Personal Reasons,True,2,False,True,True,
OFF000036,DUD100155,EMPLOY000155,2022-10-22,Involuntary,Policy Violation,False,,,,False,
OFF000037,DUD100158,EMPLOY000158,2023-06-10,Voluntary,Career Change,False,,,,True,
OFF000038,DUD100163,EMPLOY000163,2024-05-09,Involuntary,Contract End,True,4,False,False,False,
OFF000039,DUD100170,EMPLOY000170,2027-05-03,Involuntary,Contract End,True,1,True,True,False,
OFF000040,DUD100171,EMPLOY000171,2023-04-14,Voluntary,Career Development,False,,,,True,
OFF000041,DUD100181,EMPLOY000181,2026-11-30,Voluntary,Career Development,True,2,True,True,True,
OFF000042,DUD100185,EMPLOY000185,2027-12-23,Voluntary,Relocation,True,4,True,False,True,
OFF000043,DUD100191,EMPLOY000191,2023-10-30,Voluntary,Relocation,False,,,,True,
OFF000044,DUD100194,EMPLOY000194,2024-02-15,Voluntary,Commute,True,3,True,True,True,
OFF000045,DUD100199,EMPLOY000199,2024-08-18,Voluntary,Commute,True,5,True,True,True,
OFF000046,DUD100200,EMPLOY000200,2024-09-16,Involuntary,Attendance,True,4,False,True,False,
OFF000047,DUD100205,EMPLOY000205,2025-06-30,Voluntary,Assignment Issues,False,,,,True,
OFF000048,DUD100208,EMPLOY000208,2028-04-23,Voluntary,Returning Home,True,2,True,True,True,
OFF000049,DUD100216,EMPLOY000216,2023-10-30,Voluntary,Personal Reasons,True,3,False,True,True,
OFF000050,DUD100218,EMPLOY000218,2027-06-03,Voluntary,Relocation,True,3,True,False,True,
OFF000051,DUD100228,EMPLOY000228,2024-05-27,Voluntary,Relocation,True,4,False,True,True,
OFF000052,DUD100231,EMPLOY000231,2022-07-17,Voluntary,Commute,True,5,True,False,True,
OFF000053,DUD100232,EMPLOY000232,2022-09-05,Voluntary,Personal Reasons,False,,,,True,
OFF000054,DUD100237,EMPLOY000237,2022-03-28,Voluntary,Career Development,False,,,,True,
OFF000055,DUD100247,EMPLOY000247,2022-04-21,Voluntary,Personal Reasons,False,,,,True,
OFF000056,DUD100265,EMPLOY000265,2027-06-10,Voluntary,Career Change,True,1,True,True,True,
OFF000057,DUD100289,EMPLOY000289,2027-03-14,Voluntary,Personal Reasons,True,5,False,True,True,
OFF000058,DUD100294,EMPLOY000294,2025-08-13,Voluntary,Assignment Issues,False,,,,True,
OFF000059,DUD100307,EMPLOY000307,2026-09-01,Voluntary,Returning Home,True,3,False,True,True,
OFF000060,DUD100313,EMPLOY000313,2025-01-18,Voluntary,Personal Reasons,True,2,True,True,True,
OFF000061,DUD100316,EMPLOY000316,2028-04-13,Voluntary,Career Change,True,1,False,False,True,
OFF000062,DUD100319,EMPLOY000319,2025-05-22,Voluntary,Personal Reasons,True,2,True,True,True,
OFF000063,DUD100320,EMPLOY000320,2028-06-12,Involuntary,Client Request,False,,,,False,
OFF000064,DUD100328,EMPLOY000328,2025-12-12,Voluntary,Commute,True,4,False,True,True,
OFF000065,DUD100329,EMPLOY000329,2025-03-28,Voluntary,Work-Life Balance,False,,,,True,
OFF000066,DUD100333,EMPLOY000333,2025-05-03,Voluntary,Personal Reasons,True,1,False,True,True,
OFF000067,DUD100337,EMPLOY000337,2023-07-19,Voluntary,Career Change,True,1,True,False,True,
OFF000068,DUD100339,EMPLOY000339,2025-06-15,Voluntary,Relocation,True,1,True,False,True,
OFF000069,DUD100348,EMPLOY000348,2024-09-03,Voluntary,Career Change,False,,,,True,
OFF000070,DUD100354,EMPLOY000354,2024-07-22,Voluntary,Career Change,True,1,True,True,True,
OFF000071,DUD100357,EMPLOY000357,2024-09-26,Voluntary,Career Change,True,1,True,True,True,
OFF000072,DUD100361,EMPLOY000361,2026-02-16,Voluntary,Work-Life Balance,False,,,,True,
OFF000073,DUD100362,EMPLOY000362,2024-09-08,Voluntary,Returning Home,True,5,True,False,True,
OFF000074,DUD100375,EMPLOY000375,2023-12-11,Voluntary,Career Change,False,,,,True,
OFF000075,DUD100378,EMPLOY000378,2027-09-30,Voluntary,Commute,True,3,True,True,True,
OFF000076,DUD100380,EMPLOY000380,2025-03-19,Voluntary,Assignment Issues,True,2,True,False,True,
OFF000077,DUD100381,EMPLOY000381,2026-05-12,Voluntary,Compensation,True,2,False,True,True,
OFF000078,DUD100388,EMPLOY000388,2022-06-20,Involuntary,Policy Violation,False,,,,False,
OFF000079,DUD100389,EMPLOY000389,2022-08-24,Voluntary,Career Development,True,4,False,False,True,
OFF000080,DUD100394,EMPLOY000394,2021-08-22,Voluntary,Commute,True,3,False,True,True,
OFF000081,DUD100405,EMPLOY000405,2026-05-17,Voluntary,Work-Life Balance,True,2,False,False,True,
OFF000082,DUD100406,EMPLOY000406,2026-12-09,Voluntary,Assignment Issues,True,3,True,True,True,
OFF000083,DUD100407,EMPLOY000407,2027-01-15,Voluntary,Compensation,True,3,True,False,True,
OFF000084,DUD100408,EMPLOY000408,2024-08-03,Voluntary,Returning Home,True,1,True,True,True,
OFF000085,DUD100412,EMPLOY000412,2028-01-01,Voluntary,Relocation,True,2,True,True,True,
OFF000086,DUD100417,EMPLOY000417,2021-10-03,Voluntary,Assignment Issues,False,,,,True,
OFF000087,DUD100418,EMPLOY000418,2024-08-24,Voluntary,Commute,True,3,True,True,True,
OFF000088,DUD100426,EMPLOY000426,2023-05-22,Voluntary,Relocation,False,,,,True,
OFF000089,DUD100441,EMPLOY000441,2026-07-20,Voluntary,Assignment Issues,True,1,True,True,True,
OFF000090,DUD100446,EMPLOY000446,2022-01-04,Voluntary,Work-Life Balance,True,3,True,True,True,
OFF000091,DUD100447,EMPLOY000447,2026-01-14,Voluntary,Relocation,False,,,,True,
OFF000092,DUD100449,EMPLOY000449,2025-09-24,Involuntary,Client Request,True,1,True,True,False,
OFF000093,DUD100451,EMPLOY000451,2023-12-02,Voluntary,Work-Life Balance,True,2,True,False,True,
OFF000094,DUD100452,EMPLOY000452,2023-05-20,Voluntary,Returning Home,True,4,True,True,True,
OFF000095,DUD100458,EMPLOY000458,2027-02-08,Voluntary,Career Development,False,,,,True,
OFF000096,DUD100459,EMPLOY000459,2025-05-13,Voluntary,Assignment Issues,False,,,,True,
OFF000097,DUD100470,EMPLOY000470,2024-01-05,Voluntary,Career Development,True,4,True,False,True,
OFF000098,DUD100471,EMPLOY000471,2023-03-01,Involuntary,Attendance,True,3,False,False,False,
OFF000099,DUD100475,EMPLOY000475,2027-12-05,Voluntary,Compensation,False,,,,True,
OFF000100,DUD100476,EMPLOY000476,2027-04-27,Voluntary,Assignment Issues,True,4,True,False,True,
OFF000101,DUD100478,EMPLOY000478,2022-10-25,Involuntary,Contract End,True,5,False,True,False,
OFF000102,DUD100480,EMPLOY000480,2023-04-09,Voluntary,Career Development,False,,,,True,
OFF000103,DUD100484,EMPLOY000484,2023-09-19,Voluntary,Returning Home,True,5,True,True,True,
OFF000104,DUD100486,EMPLOY000486,2027-01-11,Voluntary,Assignment Issues,True,3,True,False,True,
OFF000105,DUD100487,EMPLOY000487,2025-11-02,Involuntary,Policy Violation,True,3,False,True,False,
OFF000106,DUD100489,EMPLOY000489,2028-01-31,Voluntary,Compensation,True,4,True,True,True,
