onboarding_id,employee_id,onboarding_start_date,onboarding_end_date,onboarding_type,onboarding_method,duration_days,completion_status,result,onboarding_satisfaction,notes
ONB000001,DUD100001,2026-07-31,2026-08-20,Experienced Teacher Onboarding,Online,20,Completed,Passed,4,
ONB000002,DUD100002,2024-09-13,,Experienced Teacher Onboarding,In-person,8,Incomplete,Incomplete,,
ONB000003,DUD100003,2021-12-16,2022-01-06,Experienced Teacher Onboarding,In-person,21,Completed,Satisfactory,3,
ONB000004,DUD100004,2023-06-30,2023-07-10,Experienced Teacher Onboarding,Online,10,Completed,Needs Improvement,1,
ONB000005,DUD100005,2021-09-20,,Experienced Teacher Onboarding,Online,18,Incomplete,Incomplete,,
ONB000006,DUD100006,2025-10-29,2025-11-05,Experienced Teacher Onboarding,Hybrid,7,Completed,Needs Improvement,1,
ONB000007,DUD100007,2023-04-04,2023-04-25,Experienced Teacher Onboarding,Online,21,Delayed,Needs Improvement,2,
ONB000008,DUD100008,2024-01-10,2024-01-26,Rehire Onboarding,Online,16,Completed,Passed,4,
ONB000009,DUD100009,2022-04-27,,Experienced Teacher Onboarding,Hybrid,20,Incomplete,Incomplete,,
ONB000010,DUD100010,2022-05-28,,Rehire Onboarding,Hybrid,14,Incomplete,Incomplete,,
ONB000011,DUD100011,2022-01-17,2022-02-06,Rehire Onboarding,In-person,20,Completed,Passed,3,
ONB000012,DUD100012,2021-02-06,,Rehire Onboarding,Hybrid,21,Incomplete,Incomplete,,
ONB000013,DUD100013,2026-04-21,,Standard Teacher Onboarding,In-person,19,Incomplete,Incomplete,,
ONB000014,DUD100014,2022-02-06,2022-02-26,Experienced Teacher Onboarding,Hybrid,20,Completed,Passed,3,
ONB000015,DUD100015,2021-05-18,,Standard Teacher Onboarding,In-person,17,Incomplete,Incomplete,,
ONB000016,DUD100016,2023-08-30,2023-09-16,Rehire Onboarding,Hybrid,17,Completed,Needs Improvement,5,
ONB000017,DUD100017,2025-09-10,2025-09-29,Experienced Teacher Onboarding,In-person,19,Delayed,Needs Improvement,1,
ONB000018,DUD100018,2025-01-24,2025-01-31,Standard Teacher Onboarding,Hybrid,7,Completed,Passed,3,
ONB000019,DUD100019,2024-07-21,2024-08-10,Rehire Onboarding,Online,20,Completed,Needs Improvement,1,
ONB000020,DUD100020,2024-05-19,2024-05-28,Standard Teacher Onboarding,In-person,9,Delayed,Passed,1,
ONB000021,DUD100021,2022-10-16,2022-10-25,Standard Teacher Onboarding,In-person,9,Completed,Satisfactory,3,
ONB000022,DUD100022,2021-03-06,,Standard Teacher Onboarding,In-person,9,Incomplete,Incomplete,,
ONB000023,DUD100023,2024-06-15,,Standard Teacher Onboarding,In-person,18,Incomplete,Incomplete,,
ONB000024,DUD100024,2026-07-17,2026-07-30,Experienced Teacher Onboarding,Online,13,Delayed,Passed,2,
ONB000025,DUD100025,2021-04-20,,Experienced Teacher Onboarding,Online,15,Incomplete,Incomplete,,
ONB000026,DUD100026,2024-10-05,2024-10-26,Experienced Teacher Onboarding,In-person,21,Delayed,Passed,5,
ONB000027,DUD100027,2026-05-22,2026-06-02,Standard Teacher Onboarding,Hybrid,11,Completed,Needs Improvement,3,
ONB000028,DUD100028,2022-05-18,,Standard Teacher Onboarding,In-person,8,Incomplete,Incomplete,,
ONB000029,DUD100029,2022-03-13,2022-03-24,Experienced Teacher Onboarding,Hybrid,11,Delayed,Satisfactory,5,
ONB000030,DUD100030,2023-10-15,2023-11-03,Standard Teacher Onboarding,Online,19,Completed,Passed,2,
ONB000031,DUD100031,2024-05-05,2024-05-15,Rehire Onboarding,Hybrid,10,Completed,Passed,2,
ONB000032,DUD100032,2022-04-16,2022-05-04,Rehire Onboarding,Hybrid,18,Completed,Passed,3,
ONB000033,DUD100033,2022-02-16,2022-03-07,Rehire Onboarding,Hybrid,19,Completed,Passed,4,
ONB000034,DUD100034,2025-05-20,,Standard Teacher Onboarding,Online,19,Incomplete,Incomplete,,
ONB000035,DUD100035,2024-06-08,2024-06-22,Standard Teacher Onboarding,In-person,14,Completed,Satisfactory,5,
ONB000036,DUD100036,2023-03-19,2023-03-26,Standard Teacher Onboarding,Hybrid,7,Completed,Satisfactory,4,
ONB000037,DUD100037,2022-04-19,2022-04-29,Experienced Teacher Onboarding,In-person,10,Completed,Passed,1,
ONB000038,DUD100038,2023-07-09,2023-07-18,Rehire Onboarding,Hybrid,9,Completed,Passed,3,
ONB000039,DUD100039,2026-08-04,2026-08-14,Experienced Teacher Onboarding,Hybrid,10,Completed,Passed,1,
ONB000040,DUD100040,2021-12-12,2022-01-02,Experienced Teacher Onboarding,Online,21,Completed,Passed,1,
ONB000041,DUD100041,2025-03-27,,Experienced Teacher Onboarding,Hybrid,14,Incomplete,Incomplete,,
ONB000042,DUD100042,2022-04-26,2022-05-11,Experienced Teacher Onboarding,In-person,15,Delayed,Needs Improvement,5,
ONB000043,DUD100043,2022-05-11,2022-05-30,Standard Teacher Onboarding,Online,19,Completed,Passed,5,
ONB000044,DUD100044,2021-02-05,2021-02-19,Experienced Teacher Onboarding,Online,14,Completed,Needs Improvement,5,
ONB000045,DUD100045,2025-03-28,2025-04-12,Rehire Onboarding,In-person,15,Completed,Passed,5,
ONB000046,DUD100046,2023-06-10,2023-06-23,Experienced Teacher Onboarding,Hybrid,13,Delayed,Satisfactory,3,
ONB000047,DUD100047,2024-06-27,2024-07-09,Experienced Teacher Onboarding,In-person,12,Completed,Passed,1,
ONB000048,DUD100048,2024-10-04,2024-10-19,Experienced Teacher Onboarding,Hybrid,15,Delayed,Passed,4,
ONB000049,DUD100049,2023-05-13,,Experienced Teacher Onboarding,Hybrid,9,Incomplete,Incomplete,,
ONB000050,DUD100050,2024-09-21,2024-09-28,Standard Teacher Onboarding,In-person,7,Completed,Passed,5,
ONB000051,DUD100051,2024-12-17,2024-12-24,Standard Teacher Onboarding,In-person,7,Completed,Needs Improvement,4,
ONB000052,DUD100052,2024-10-07,,Experienced Teacher Onboarding,Hybrid,15,Incomplete,Incomplete,,
ONB000053,DUD100053,2024-03-03,2024-03-17,Standard Teacher Onboarding,Online,14,Completed,Needs Improvement,4,
ONB000054,DUD100054,2026-03-01,2026-03-22,Experienced Teacher Onboarding,Hybrid,21,Completed,Needs Improvement,1,
ONB000055,DUD100055,2025-08-06,2025-08-18,Standard Teacher Onboarding,In-person,12,Completed,Satisfactory,5,
ONB000056,DUD100056,2026-02-12,2026-02-19,Rehire Onboarding,Online,7,Completed,Needs Improvement,2,
ONB000057,DUD100057,2024-01-25,2024-02-07,Experienced Teacher Onboarding,In-person,13,Delayed,Passed,3,
ONB000058,DUD100058,2021-12-24,2022-01-10,Standard Teacher Onboarding,Online,17,Completed,Satisfactory,3,
ONB000059,DUD100059,2021-08-20,2021-09-01,Standard Teacher Onboarding,Hybrid,12,Completed,Passed,5,
ONB000060,DUD100060,2024-04-11,2024-04-24,Rehire Onboarding,Online,13,Completed,Passed,4,
ONB000061,DUD100061,2025-09-11,,Rehire Onboarding,In-person,9,Incomplete,Incomplete,,
ONB000062,DUD100062,2023-08-01,2023-08-12,Rehire Onboarding,In-person,11,Completed,Satisfactory,4,
ONB000063,DUD100063,2025-10-06,2025-10-21,Rehire Onboarding,In-person,15,Delayed,Passed,2,
ONB000064,DUD100064,2023-07-08,2023-07-28,Experienced Teacher Onboarding,Online,20,Completed,Satisfactory,3,
ONB000065,DUD100065,2023-07-28,2023-08-13,Rehire Onboarding,Hybrid,16,Delayed,Needs Improvement,2,
ONB000066,DUD100066,2026-03-10,2026-03-29,Experienced Teacher Onboarding,Online,19,Completed,Satisfactory,2,
ONB000067,DUD100067,2023-01-11,2023-01-26,Rehire Onboarding,Online,15,Delayed,Satisfactory,5,
ONB000068,DUD100068,2023-06-29,2023-07-07,Rehire Onboarding,Hybrid,8,Completed,Passed,3,
ONB000069,DUD100069,2022-03-12,2022-04-02,Rehire Onboarding,Hybrid,21,Delayed,Passed,3,
ONB000070,DUD100070,2022-05-26,2022-06-07,Experienced Teacher Onboarding,Hybrid,12,Completed,Passed,2,
ONB000071,DUD100071,2021-02-07,2021-02-25,Standard Teacher Onboarding,In-person,18,Completed,Passed,5,
ONB000072,DUD100072,2025-12-23,,Experienced Teacher Onboarding,In-person,12,Incomplete,Incomplete,,
ONB000073,DUD100073,2021-01-25,2021-02-09,Rehire Onboarding,Online,15,Completed,Satisfactory,5,
ONB000074,DUD100074,2021-08-13,,Rehire Onboarding,Hybrid,18,Incomplete,Incomplete,,
ONB000075,DUD100075,2025-11-10,,Rehire Onboarding,In-person,19,Incomplete,Incomplete,,
ONB000076,DUD100076,2021-01-21,,Experienced Teacher Onboarding,Hybrid,11,Incomplete,Incomplete,,
ONB000077,DUD100077,2025-05-11,2025-05-20,Standard Teacher Onboarding,Hybrid,9,Delayed,Satisfactory,1,
ONB000078,DUD100078,2024-03-08,2024-03-25,Experienced Teacher Onboarding,Online,17,Delayed,Passed,4,
ONB000079,DUD100079,2022-04-09,2022-04-30,Standard Teacher Onboarding,Online,21,Completed,Needs Improvement,2,
ONB000080,DUD100080,2026-01-18,,Experienced Teacher Onboarding,In-person,7,Incomplete,Incomplete,,
ONB000081,DUD100081,2022-08-07,,Rehire Onboarding,Hybrid,7,Incomplete,Incomplete,,
ONB000082,DUD100082,2025-02-26,2025-03-12,Experienced Teacher Onboarding,Online,14,Completed,Needs Improvement,5,
ONB000083,DUD100083,2025-06-01,2025-06-15,Standard Teacher Onboarding,Hybrid,14,Completed,Passed,3,
ONB000084,DUD100084,2021-09-01,2021-09-08,Standard Teacher Onboarding,Hybrid,7,Completed,Passed,4,
ONB000085,DUD100085,2023-04-10,,Experienced Teacher Onboarding,Online,14,Incomplete,Incomplete,,
ONB000086,DUD100086,2022-08-28,,Experienced Teacher Onboarding,Hybrid,15,Incomplete,Incomplete,,
ONB000087,DUD100087,2022-04-29,2022-05-17,Experienced Teacher Onboarding,Online,18,Completed,Passed,1,
ONB000088,DUD100088,2022-12-08,2022-12-26,Experienced Teacher Onboarding,Online,18,Delayed,Satisfactory,3,
ONB000089,DUD100089,2024-05-31,2024-06-16,Experienced Teacher Onboarding,Online,16,Completed,Satisfactory,4,
ONB000090,DUD100090,2026-05-28,2026-06-04,Experienced Teacher Onboarding,Hybrid,7,Completed,Needs Improvement,1,
ONB000091,DUD100091,2023-12-27,,Standard Teacher Onboarding,Hybrid,14,Incomplete,Incomplete,,
ONB000092,DUD100092,2023-08-08,2023-08-24,Standard Teacher Onboarding,Hybrid,16,Delayed,Passed,4,
ONB000093,DUD100093,2021-04-06,2021-04-18,Rehire Onboarding,In-person,12,Completed,Passed,4,
ONB000094,DUD100094,2021-02-05,2021-02-21,Experienced Teacher Onboarding,In-person,16,Completed,Passed,5,
ONB000095,DUD100095,2021-12-13,2021-12-26,Rehire Onboarding,Hybrid,13,Delayed,Passed,5,
ONB000096,DUD100096,2025-09-02,2025-09-21,Rehire Onboarding,In-person,19,Completed,Needs Improvement,5,
ONB000097,DUD100097,2022-03-15,,Experienced Teacher Onboarding,In-person,19,Incomplete,Incomplete,,
ONB000098,DUD100098,2024-03-24,,Rehire Onboarding,In-person,20,Incomplete,Incomplete,,
ONB000099,DUD100099,2022-05-01,2022-05-20,Rehire Onboarding,In-person,19,Completed,Satisfactory,2,
ONB000100,DUD100100,2024-06-10,2024-06-29,Experienced Teacher Onboarding,Hybrid,19,Completed,Passed,2,
ONB000101,DUD100101,2026-05-22,,Rehire Onboarding,Online,18,Incomplete,Incomplete,,
ONB000102,DUD100102,2023-10-04,2023-10-20,Rehire Onboarding,Online,16,Completed,Passed,2,
ONB000103,DUD100103,2024-02-24,2024-03-15,Standard Teacher Onboarding,In-person,20,Completed,Satisfactory,3,
ONB000104,DUD100104,2024-08-13,2024-08-23,Experienced Teacher Onboarding,Online,10,Completed,Satisfactory,2,
ONB000105,DUD100105,2021-08-17,2021-09-04,Experienced Teacher Onboarding,Online,18,Completed,Needs Improvement,2,
ONB000106,DUD100106,2025-09-22,,Experienced Teacher Onboarding,In-person,8,Incomplete,Incomplete,,
ONB000107,DUD100107,2021-04-25,2021-05-08,Rehire Onboarding,Online,13,Completed,Passed,1,
ONB000108,DUD100108,2021-07-19,,Standard Teacher Onboarding,In-person,8,Incomplete,Incomplete,,
ONB000109,DUD100109,2025-05-06,2025-05-26,Experienced Teacher Onboarding,In-person,20,Completed,Needs Improvement,2,
ONB000110,DUD100110,2023-07-24,,Experienced Teacher Onboarding,In-person,10,Incomplete,Incomplete,,
ONB000111,DUD100111,2025-10-20,2025-11-09,Rehire Onboarding,In-person,20,Delayed,Passed,1,
ONB000112,DUD100112,2022-07-06,2022-07-20,Rehire Onboarding,Online,14,Completed,Satisfactory,5,
ONB000113,DUD100113,2025-03-15,2025-04-05,Experienced Teacher Onboarding,Online,21,Completed,Needs Improvement,2,
ONB000114,DUD100114,2021-06-08,2021-06-29,Rehire Onboarding,Online,21,Completed,Passed,4,
ONB000115,DUD100115,2025-09-02,2025-09-21,Standard Teacher Onboarding,Hybrid,19,Completed,Satisfactory,1,
ONB000116,DUD100116,2024-11-07,,Experienced Teacher Onboarding,Online,16,Incomplete,Incomplete,,
ONB000117,DUD100117,2025-08-03,,Experienced Teacher Onboarding,Hybrid,13,Incomplete,Incomplete,,
ONB000118,DUD100118,2024-08-08,2024-08-23,Experienced Teacher Onboarding,Hybrid,15,Delayed,Needs Improvement,3,
ONB000119,DUD100119,2022-12-27,2023-01-05,Standard Teacher Onboarding,Hybrid,9,Completed,Satisfactory,5,
ONB000120,DUD100120,2026-04-02,2026-04-13,Experienced Teacher Onboarding,Online,11,Delayed,Needs Improvement,1,
ONB000121,DUD100121,2021-10-30,2021-11-17,Experienced Teacher Onboarding,In-person,18,Completed,Passed,5,
ONB000122,DUD100122,2024-09-28,,Experienced Teacher Onboarding,Hybrid,21,Incomplete,Incomplete,,
ONB000123,DUD100123,2026-06-23,,Experienced Teacher Onboarding,In-person,8,Incomplete,Incomplete,,
ONB000124,DUD100124,2025-07-12,2025-07-26,Standard Teacher Onboarding,In-person,14,Delayed,Passed,2,
ONB000125,DUD100125,2025-09-25,2025-10-09,Rehire Onboarding,Hybrid,14,Completed,Passed,2,
ONB000126,DUD100126,2025-09-24,2025-10-07,Standard Teacher Onboarding,Online,13,Delayed,Passed,2,
ONB000127,DUD100127,2025-10-28,2025-11-14,Standard Teacher Onboarding,Hybrid,17,Delayed,Passed,4,
ONB000128,DUD100128,2025-09-23,2025-10-03,Experienced Teacher Onboarding,Online,10,Delayed,Passed,2,
ONB000129,DUD100129,2022-01-02,2022-01-20,Rehire Onboarding,Hybrid,18,Delayed,Satisfactory,4,
ONB000130,DUD100130,2026-02-03,,Standard Teacher Onboarding,Online,12,Incomplete,Incomplete,,
ONB000131,DUD100131,2023-08-11,,Rehire Onboarding,Hybrid,20,Incomplete,Incomplete,,
ONB000132,DUD100132,2022-09-11,2022-10-01,Rehire Onboarding,Hybrid,20,Completed,Passed,4,
ONB000133,DUD100133,2026-03-25,2026-04-02,Rehire Onboarding,Hybrid,8,Delayed,Satisfactory,3,
ONB000134,DUD100134,2023-07-14,2023-07-21,Rehire Onboarding,Hybrid,7,Completed,Needs Improvement,3,
ONB000135,DUD100135,2022-03-16,2022-04-04,Standard Teacher Onboarding,Hybrid,19,Completed,Needs Improvement,5,
ONB000136,DUD100136,2023-11-29,2023-12-20,Standard Teacher Onboarding,In-person,21,Completed,Passed,5,
ONB000137,DUD100137,2022-09-23,,Rehire Onboarding,Online,8,Incomplete,Incomplete,,
ONB000138,DUD100138,2021-07-22,2021-07-30,Experienced Teacher Onboarding,Online,8,Completed,Passed,2,
ONB000139,DUD100139,2023-07-21,2023-08-02,Rehire Onboarding,In-person,12,Completed,Passed,5,
ONB000140,DUD100140,2023-11-09,2023-11-22,Rehire Onboarding,Online,13,Completed,Passed,3,
ONB000141,DUD100141,2022-05-08,2022-05-15,Experienced Teacher Onboarding,Online,7,Completed,Passed,5,
ONB000142,DUD100142,2021-12-27,2022-01-11,Experienced Teacher Onboarding,Online,15,Completed,Satisfactory,5,
ONB000143,DUD100143,2022-05-14,2022-06-01,Experienced Teacher Onboarding,Hybrid,18,Completed,Passed,2,
ONB000144,DUD100144,2023-04-18,2023-04-29,Experienced Teacher Onboarding,Hybrid,11,Completed,Satisfactory,4,
ONB000145,DUD100145,2023-10-27,2023-11-11,Experienced Teacher Onboarding,Hybrid,15,Delayed,Passed,3,
ONB000146,DUD100146,2021-01-04,,Experienced Teacher Onboarding,Online,19,Incomplete,Incomplete,,
ONB000147,DUD100147,2022-07-26,2022-08-16,Experienced Teacher Onboarding,In-person,21,Completed,Passed,1,
ONB000148,DUD100148,2022-11-10,,Experienced Teacher Onboarding,Hybrid,18,Incomplete,Incomplete,,
ONB000149,DUD100149,2022-12-25,2023-01-04,Standard Teacher Onboarding,Online,10,Completed,Satisfactory,4,
ONB000150,DUD100150,2025-04-11,2025-04-20,Rehire Onboarding,Hybrid,9,Completed,Needs Improvement,4,
ONB000151,DUD100151,2026-07-02,2026-07-09,Rehire Onboarding,Online,7,Completed,Satisfactory,3,
ONB000152,DUD100152,2022-03-18,2022-03-27,Standard Teacher Onboarding,Online,9,Delayed,Satisfactory,2,
ONB000153,DUD100153,2023-08-19,2023-08-27,Standard Teacher Onboarding,Online,8,Completed,Passed,1,
ONB000154,DUD100154,2025-03-12,2025-03-30,Experienced Teacher Onboarding,Online,18,Completed,Passed,5,
ONB000155,DUD100155,2022-08-26,2022-09-10,Rehire Onboarding,Online,15,Completed,Satisfactory,1,
ONB000156,DUD100156,2025-06-02,2025-06-19,Rehire Onboarding,Online,17,Completed,Passed,5,
ONB000157,DUD100157,2023-06-25,,Rehire Onboarding,Hybrid,14,Incomplete,Incomplete,,
ONB000158,DUD100158,2023-03-06,,Experienced Teacher Onboarding,Hybrid,9,Incomplete,Incomplete,,
ONB000159,DUD100159,2025-10-28,2025-11-04,Experienced Teacher Onboarding,Hybrid,7,Completed,Needs Improvement,3,
ONB000160,DUD100160,2025-09-11,2025-09-27,Rehire Onboarding,In-person,16,Completed,Passed,3,
ONB000161,DUD100161,2025-11-13,2025-11-23,Standard Teacher Onboarding,Hybrid,10,Completed,Satisfactory,2,
ONB000162,DUD100162,2025-09-18,,Experienced Teacher Onboarding,Online,13,Incomplete,Incomplete,,
ONB000163,DUD100163,2021-01-20,2021-02-09,Rehire Onboarding,Online,20,Completed,Needs Improvement,4,
ONB000164,DUD100164,2021-06-03,,Experienced Teacher Onboarding,Online,17,Incomplete,Incomplete,,
ONB000165,DUD100165,2026-05-05,2026-05-15,Experienced Teacher Onboarding,In-person,10,Completed,Passed,1,
ONB000166,DUD100166,2026-03-12,2026-03-19,Rehire Onboarding,In-person,7,Completed,Passed,5,
ONB000167,DUD100167,2025-08-02,2025-08-12,Experienced Teacher Onboarding,Hybrid,10,Completed,Needs Improvement,4,
ONB000168,DUD100168,2024-10-29,2024-11-17,Standard Teacher Onboarding,In-person,19,Completed,Satisfactory,4,
ONB000169,DUD100169,2021-10-16,,Experienced Teacher Onboarding,In-person,13,Incomplete,Incomplete,,
ONB000170,DUD100170,2023-06-11,,Rehire Onboarding,In-person,18,Incomplete,Incomplete,,
ONB000171,DUD100171,2022-03-15,2022-03-31,Rehire Onboarding,In-person,16,Delayed,Satisfactory,3,
ONB000172,DUD100172,2023-07-26,,Experienced Teacher Onboarding,In-person,18,Incomplete,Incomplete,,
ONB000173,DUD100173,2022-11-06,,Rehire Onboarding,Online,21,Incomplete,Incomplete,,
ONB000174,DUD100174,2023-05-08,2023-05-23,Standard Teacher Onboarding,In-person,15,Delayed,Passed,1,
ONB000175,DUD100175,2022-10-06,2022-10-17,Rehire Onboarding,Online,11,Completed,Satisfactory,2,
ONB000176,DUD100176,2025-10-12,2025-10-29,Standard Teacher Onboarding,Online,17,Completed,Passed,4,
ONB000177,DUD100177,2025-12-07,2025-12-25,Standard Teacher Onboarding,Hybrid,18,Delayed,Passed,3,
ONB000178,DUD100178,2023-09-16,,Standard Teacher Onboarding,Online,16,Incomplete,Incomplete,,
ONB000179,DUD100179,2025-07-28,,Standard Teacher Onboarding,Hybrid,19,Incomplete,Incomplete,,
ONB000180,DUD100180,2024-05-06,2024-05-19,Experienced Teacher Onboarding,Online,13,Delayed,Needs Improvement,4,
ONB000181,DUD100181,2024-09-22,2024-09-29,Experienced Teacher Onboarding,Online,7,Completed,Passed,4,
ONB000182,DUD100182,2022-05-19,2022-06-03,Rehire Onboarding,In-person,15,Delayed,Needs Improvement,5,
ONB000183,DUD100183,2024-12-16,2024-12-30,Rehire Onboarding,In-person,14,Completed,Passed,2,
ONB000184,DUD100184,2021-06-04,2021-06-15,Experienced Teacher Onboarding,Hybrid,11,Completed,Passed,2,
ONB000185,DUD100185,2026-06-13,2026-06-22,Rehire Onboarding,In-person,9,Completed,Satisfactory,4,
ONB000186,DUD100186,2026-05-07,2026-05-23,Rehire Onboarding,Hybrid,16,Delayed,Satisfactory,5,
ONB000187,DUD100187,2025-04-24,2025-05-11,Experienced Teacher Onboarding,Online,17,Completed,Passed,3,
ONB000188,DUD100188,2025-01-16,2025-02-04,Experienced Teacher Onboarding,Hybrid,19,Completed,Passed,5,
ONB000189,DUD100189,2022-08-30,2022-09-07,Rehire Onboarding,In-person,8,Completed,Passed,1,
ONB000190,DUD100190,2021-12-24,2022-01-05,Experienced Teacher Onboarding,Hybrid,12,Completed,Passed,4,
ONB000191,DUD100191,2022-06-05,2022-06-22,Rehire Onboarding,Online,17,Completed,Passed,4,
ONB000192,DUD100192,2024-07-05,2024-07-19,Experienced Teacher Onboarding,In-person,14,Delayed,Passed,2,
ONB000193,DUD100193,2022-10-24,2022-11-01,Experienced Teacher Onboarding,In-person,8,Completed,Needs Improvement,2,
ONB000194,DUD100194,2024-08-22,2024-09-02,Rehire Onboarding,Online,11,Completed,Satisfactory,4,
ONB000195,DUD100195,2026-07-03,2026-07-24,Experienced Teacher Onboarding,Online,21,Completed,Passed,5,
ONB000196,DUD100196,2022-04-24,2022-05-05,Experienced Teacher Onboarding,In-person,11,Completed,Passed,4,
ONB000197,DUD100197,2022-12-19,,Standard Teacher Onboarding,Online,15,Incomplete,Incomplete,,
ONB000198,DUD100198,2021-02-08,2021-03-01,Experienced Teacher Onboarding,Hybrid,21,Completed,Passed,3,
ONB000199,DUD100199,2022-08-16,2022-09-01,Standard Teacher Onboarding,In-person,16,Delayed,Passed,3,
ONB000200,DUD100200,2021-05-13,2021-05-25,Rehire Onboarding,Hybrid,12,Completed,Passed,4,
ONB000201,DUD100201,2024-02-13,2024-02-28,Rehire Onboarding,Online,15,Completed,Satisfactory,1,
ONB000202,DUD100202,2026-08-13,2026-08-26,Standard Teacher Onboarding,Online,13,Completed,Needs Improvement,5,
ONB000203,DUD100203,2024-04-03,2024-04-15,Experienced Teacher Onboarding,Online,12,Delayed,Satisfactory,2,
ONB000204,DUD100204,2026-06-08,2026-06-16,Experienced Teacher Onboarding,Hybrid,8,Completed,Needs Improvement,3,
ONB000205,DUD100205,2022-07-07,2022-07-26,Rehire Onboarding,In-person,19,Completed,Passed,2,
ONB000206,DUD100206,2023-01-01,2023-01-08,Experienced Teacher Onboarding,Hybrid,7,Completed,Satisfactory,3,
ONB000207,DUD100207,2024-08-29,2024-09-07,Experienced Teacher Onboarding,Online,9,Completed,Passed,1,
ONB000208,DUD100208,2023-07-28,,Rehire Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000209,DUD100209,2021-10-19,2021-11-07,Standard Teacher Onboarding,In-person,19,Completed,Needs Improvement,3,
ONB000210,DUD100210,2022-04-24,,Experienced Teacher Onboarding,Online,15,Incomplete,Incomplete,,
