performance_id,employee_id,assignment_id,reviewer_id,review_date,review_type,lesson_quality,classroom_management,professionalism,communication,reliability,overall_score,improvement_required,comments
PERF0000001,DUD100001,ASG000001,DUD000062,2025-06-27,Performance Improvement Review,5,5,5,5,5,5.0,False,
PERF0000002,DUD100002,ASG000002,DUD000064,2023-11-30,School Visit,5,4,5,5,5,4.8,False,
PERF0000003,DUD100003,ASG000003,DUD000083,2021-01-28,School Visit,3,4,2,4,2,3.0,False,
PERF0000004,DUD100003,ASG000004,DUD000030,2021-05-12,Annual Review,4,4,5,4,3,4.0,False,
PERF0000005,DUD100003,ASG000004,DUD000075,2021-11-22,Annual Review,4,3,3,2,4,3.2,False,
PERF0000006,DUD100004,ASG000005,DUD000055,2022-07-08,Annual Review,4,3,5,5,4,4.2,False,
PERF0000007,DUD100004,ASG000005,DUD000099,2022-09-12,Performance Improvement Review,3,5,4,5,4,4.2,False,
PERF0000008,DUD100005,ASG000006,DUD000040,2023-10-12,Performance Improvement Review,3,3,4,5,5,4.0,False,
PERF0000009,DUD100005,ASG000006,DUD000056,2023-04-06,Performance Improvement Review,5,5,3,4,4,4.2,False,
PERF0000010,DUD100005,ASG000006,DUD000085,2023-11-28,Six-Month Review,3,3,3,3,3,3.0,False,
PERF0000011,DUD100006,ASG000007,DUD000076,2024-07-24,Annual Review,3,3,3,3,3,3.0,False,
PERF0000012,DUD100006,ASG000007,DUD000041,2025-03-19,Six-Month Review,4,3,2,2,2,2.6,True,
PERF0000013,DUD100007,ASG000008,DUD000060,2026-07-01,Six-Month Review,4,5,4,3,4,4.0,False,
PERF0000014,DUD100007,ASG000010,DUD000064,2028-08-20,Performance Improvement Review,5,4,5,5,4,4.6,False,
PERF0000015,DUD100007,ASG000010,DUD000039,2028-08-20,Annual Review,3,4,5,3,5,4.0,False,
PERF0000016,DUD100008,ASG000011,DUD000011,2025-01-20,Annual Review,3,4,3,2,2,2.8,True,
PERF0000017,DUD100008,ASG000011,DUD000063,2025-04-29,Annual Review,4,3,4,4,3,3.6,False,
PERF0000018,DUD100009,ASG000012,DUD000033,2024-06-13,School Visit,3,5,4,4,5,4.2,False,
PERF0000019,DUD100009,ASG000012,DUD000076,2024-10-12,Performance Improvement Review,5,5,4,4,3,4.2,False,
PERF0000020,DUD100010,ASG000013,DUD000040,2025-11-17,School Visit,5,5,5,4,5,4.8,False,
PERF0000021,DUD100011,ASG000014,DUD000047,2026-03-28,School Visit,4,4,5,4,4,4.2,False,
PERF0000022,DUD100011,ASG000014,DUD000021,2026-07-19,Six-Month Review,4,4,4,3,5,4.0,False,
PERF0000023,DUD100012,ASG000015,DUD000087,2025-09-08,Six-Month Review,3,2,2,2,3,2.4,True,
PERF0000024,DUD100012,ASG000015,DUD000025,2026-05-26,Annual Review,5,4,3,4,4,4.0,False,
PERF0000025,DUD100013,ASG000016,DUD000010,2023-01-29,Performance Improvement Review,4,5,5,5,4,4.6,False,
PERF0000026,DUD100013,ASG000017,DUD000020,2023-10-25,Annual Review,3,4,4,4,5,4.0,False,
PERF0000027,DUD100014,ASG000018,DUD000031,2027-02-19,Performance Improvement Review,5,5,5,4,5,4.8,False,
PERF0000028,DUD100015,ASG000020,DUD000045,2022-07-16,School Visit,4,4,5,5,5,4.6,False,
PERF0000029,DUD100016,ASG000023,DUD000092,2023-08-19,Annual Review,3,3,4,5,3,3.6,False,
PERF0000030,DUD100016,ASG000023,DUD000044,2024-07-20,Six-Month Review,4,4,4,4,5,4.2,False,
PERF0000031,DUD100017,ASG000024,DUD000057,2026-02-12,Annual Review,1,2,3,3,2,2.2,True,
PERF0000032,DUD100017,ASG000024,DUD000080,2023-12-06,Performance Improvement Review,4,3,3,4,3,3.4,False,
PERF0000033,DUD100017,ASG000024,DUD000047,2024-03-31,Annual Review,4,4,4,5,5,4.4,False,
PERF0000034,DUD100018,ASG000025,DUD000078,2025-06-14,Six-Month Review,5,5,5,4,5,4.8,False,
PERF0000035,DUD100018,ASG000025,DUD000079,2026-06-01,Annual Review,3,3,3,2,3,2.8,True,
PERF0000036,DUD100018,ASG000025,DUD000057,2026-04-10,Performance Improvement Review,4,4,3,5,3,3.8,False,
PERF0000037,DUD100019,ASG000026,DUD000074,2023-05-08,School Visit,4,5,3,3,3,3.6,False,
PERF0000038,DUD100019,ASG000026,DUD000085,2023-04-05,Six-Month Review,5,5,4,5,5,4.8,False,
PERF0000039,DUD100019,ASG000027,DUD000092,2025-08-12,Six-Month Review,4,4,5,3,3,3.8,False,
PERF0000040,DUD100020,ASG000029,DUD000047,2025-06-08,Annual Review,4,4,5,5,4,4.4,False,
PERF0000041,DUD100021,ASG000031,DUD000047,2026-08-08,School Visit,5,4,4,5,4,4.4,False,
PERF0000042,DUD100021,ASG000031,DUD000023,2026-08-06,School Visit,5,4,5,4,5,4.6,False,
PERF0000043,DUD100022,ASG000032,DUD000043,2025-07-10,Six-Month Review,5,4,5,4,4,4.4,False,
PERF0000044,DUD100022,ASG000032,DUD000035,2025-06-07,Annual Review,4,4,4,5,4,4.2,False,
PERF0000045,DUD100022,ASG000032,DUD000042,2025-08-15,Performance Improvement Review,3,3,3,4,3,3.2,False,
PERF0000046,DUD100023,ASG000033,DUD000096,2025-10-26,School Visit,5,5,4,4,4,4.4,False,
PERF0000047,DUD100024,ASG000034,DUD000075,2024-06-12,Six-Month Review,5,5,5,5,5,5.0,False,
PERF0000048,DUD100025,ASG000035,DUD000002,2026-04-21,Performance Improvement Review,4,4,4,3,3,3.6,False,
PERF0000049,DUD100025,ASG000035,DUD000038,2026-05-01,Annual Review,4,4,5,3,4,4.0,False,
PERF0000050,DUD100025,ASG000035,DUD000073,2025-12-27,School Visit,3,5,3,3,4,3.6,False,
PERF0000051,DUD100026,ASG000037,DUD000005,2023-06-29,Performance Improvement Review,4,5,4,5,4,4.4,False,
PERF0000052,DUD100026,ASG000037,DUD000051,2023-12-07,Performance Improvement Review,4,3,2,2,3,2.8,True,
PERF0000053,DUD100027,ASG000038,DUD000081,2024-07-11,School Visit,5,5,5,5,5,5.0,False,
PERF0000054,DUD100028,ASG000041,DUD000003,2027-06-14,Six-Month Review,3,3,4,4,4,3.6,False,
PERF0000055,DUD100028,ASG000041,DUD000085,2027-06-14,School Visit,4,4,3,4,4,3.8,False,
PERF0000056,DUD100029,ASG000042,DUD000094,2025-04-10,Annual Review,4,4,4,3,4,3.8,False,
PERF0000057,DUD100029,ASG000042,DUD000022,2025-04-15,Annual Review,3,2,2,4,4,3.0,False,
PERF0000058,DUD100029,ASG000042,DUD000057,2025-07-15,Annual Review,3,4,5,3,3,3.6,False,
PERF0000059,DUD100030,ASG000044,DUD000061,2023-08-09,School Visit,1,1,1,2,1,1.2,True,
PERF0000060,DUD100030,ASG000044,DUD000023,2023-12-26,School Visit,5,5,5,5,5,5.0,False,
