qualification_id,employee_id,qualification_name,qualification_type,issuing_organization,issue_date,expiry_date,qualification_status
QUAL000001,DUD100001,BA Education,Degree,University,2018-10-19,,Active
QUAL000002,DUD100001,TESOL,Teaching Certification,TESOL International Association,2020-10-18,,Active
QUAL000003,DUD100002,TEFL,Teaching Certification,International TEFL Academy,2023-11-27,2025-11-27,Expired
QUAL000004,DUD100003,CELTA,Teaching Certification,Cambridge English,2023-12-25,2027-11-16,Active
QUAL000005,DUD100004,TESOL,Teaching Certification,TESOL International Association,2025-08-27,2029-09-01,Active
QUAL000006,DUD100005,MA Education,Degree,University,2019-07-08,,Active
QUAL000007,DUD100006,BA Education,Degree,University,2022-03-04,,Active
QUAL000008,DUD100007,TEFL,Teaching Certification,International TEFL Academy,2023-08-28,,Active
QUAL000009,DUD100008,CELTA,Teaching Certification,Cambridge English,2021-02-19,,Active
QUAL000010,DUD100009,BA English,Degree,University,2023-02-25,,Active
QUAL000011,DUD100010,TEFL,Teaching Certification,International TEFL Academy,2023-09-06,,Active
QUAL000012,DUD100011,MA Education,Degree,University,2020-12-18,,Active
QUAL000013,DUD100011,TESOL,Teaching Certification,TESOL International Association,2019-07-04,,Active
QUAL000014,DUD100012,MA Education,Degree,University,2018-11-23,,Active
QUAL000015,DUD100013,BA Linguistics,Degree,University,2022-07-19,,Active
QUAL000016,DUD100013,BA English,Degree,University,2018-09-21,,Active
QUAL000017,DUD100014,TESOL,Teaching Certification,TESOL International Association,2021-06-03,2024-07-28,Expired
QUAL000018,DUD100014,BA Linguistics,Degree,University,2020-03-25,,Active
QUAL000019,DUD100015,BA Linguistics,Degree,University,2022-12-22,,Active
QUAL000020,DUD100016,BA English,Degree,University,2020-07-22,,Active
QUAL000021,DUD100017,TESOL,Teaching Certification,TESOL International Association,2024-01-04,2026-04-06,Expired
QUAL000022,DUD100018,CELTA,Teaching Certification,Cambridge English,2022-11-20,,Active
QUAL000023,DUD100019,CELTA,Teaching Certification,Cambridge English,2018-07-08,,Active
QUAL000024,DUD100019,MA Education,Degree,University,2022-05-18,,Active
QUAL000025,DUD100020,TEFL,Teaching Certification,International TEFL Academy,2023-11-13,,Active
QUAL000026,DUD100021,BA English,Degree,University,2025-01-23,,Active
QUAL000027,DUD100022,CELTA,Teaching Certification,Cambridge English,2024-09-01,,Active
QUAL000028,DUD100022,TEFL,Teaching Certification,International TEFL Academy,2020-11-26,,Active
QUAL000029,DUD100023,TEFL,Teaching Certification,International TEFL Academy,2023-05-06,,Active
QUAL000030,DUD100024,MA Education,Degree,University,2024-02-20,,Active
QUAL000031,DUD100025,MA Education,Degree,University,2019-10-12,,Active
QUAL000032,DUD100026,TEFL,Teaching Certification,International TEFL Academy,2024-11-05,,Active
QUAL000033,DUD100026,BA Education,Degree,University,2020-12-16,,Active
QUAL000034,DUD100027,BA Education,Degree,University,2020-05-04,,Active
