school_id,client_id,school_name,school_type,prefecture,city,opening_date,school_status
SCH00001,CLI0001,Tsubaki Kita Kindergarten,Kindergarten,Tokyo,Kita,1998-07-21,Inactive
SCH00002,CLI0002,Hikari Kawasaki Education Center,Education Center,Kanagawa,Kawasaki,2018-06-13,Active
SCH00003,CLI0002,Seiwa Kawasaki English School,English School,Kanagawa,Kawasaki,2014-05-27,Active
SCH00004,CLI0003,Hikari Soka Public Junior High School,Public Junior High School,Saitama,Soka,1989-10-14,Active
SCH00005,CLI0003,Tsubaki Soka Private School,Private School,Saitama,Soka,2012-04-08,Active
SCH00006,CLI0004,Asahi Urayasu English School,English School,Chiba,Urayasu,1980-11-15,Active
SCH00007,CLI0004,Sakura Kawasaki Private School,Private School,Kanagawa,Kawasaki,2008-09-25,Active
SCH00008,CLI0004,Seiwa Koganei Kindergarten,Kindergarten,Tokyo,Koganei,1980-05-12,Active
SCH00009,CLI0005,Hikari Matsudo Private School,Private School,Chiba,Matsudo,2022-11-14,Active
SCH00010,CLI0006,Haruka Kawaguchi High School,High School,Saitama,Kawaguchi,2016-12-02,Active
SCH00011,CLI0007,Asahi Nerima High School,High School,Tokyo,Nerima,2016-04-22,Active
SCH00012,CLI0007,Hikari Hachioji Kindergarten,Kindergarten,Tokyo,Hachioji,1990-12-15,Active
SCH00013,CLI0008,Hikari Kawaguchi Private School,Private School,Saitama,Kawaguchi,2004-03-20,Active
SCH00014,CLI0008,Haruka Fujisawa Education Center,Education Center,Kanagawa,Fujisawa,2005-03-23,Active
SCH00015,CLI0009,Sakura Kita Public Junior High School,Public Junior High School,Tokyo,Kita,2008-02-01,Active
SCH00016,CLI0010,Asahi Chiba Kindergarten,Kindergarten,Chiba,Chiba,2000-08-13,Active
SCH00017,CLI0010,Hikari Fujisawa Private School,Private School,Kanagawa,Fujisawa,2001-06-24,Active
SCH00018,CLI0011,Mirai Fujisawa Public Elementary School,Public Elementary School,Kanagawa,Fujisawa,1987-07-03,Active
SCH00019,CLI0012,Koyo Kawasaki Public Elementary School,Public Elementary School,Kanagawa,Kawasaki,1982-01-21,Active
SCH00020,CLI0012,Hikari Adachi English School,English School,Tokyo,Adachi,2020-04-01,Active
SCH00021,CLI0013,Asahi Ichikawa English School,English School,Chiba,Ichikawa,1981-09-02,Active
SCH00022,CLI0014,Seiwa Warabi High School,High School,Saitama,Warabi,2013-08-27,Active
SCH00023,CLI0015,Asahi Matsudo Private School,Private School,Chiba,Matsudo,2020-01-05,Active
SCH00024,CLI0016,Midori Soka Education Center,Education Center,Saitama,Soka,1998-09-23,Inactive
SCH00025,CLI0016,Mirai Sagamihara English School,English School,Kanagawa,Sagamihara,1991-02-12,Active
SCH00026,CLI0017,Mirai Saitama Public Junior High School,Public Junior High School,Saitama,Saitama,1983-03-12,Active
SCH00027,CLI0017,Tsubaki Ichikawa Public Junior High School,Public Junior High School,Chiba,Ichikawa,2020-09-10,Active
SCH00028,CLI0018,Mirai Kawagoe High School,High School,Saitama,Kawagoe,2024-03-08,Active
SCH00029,CLI0019,Seiwa Chiba Public Junior High School,Public Junior High School,Chiba,Chiba,2011-11-13,Active
SCH00030,CLI0019,Sakura Sagamihara High School,High School,Kanagawa,Sagamihara,2004-05-22,Active
SCH00031,CLI0020,Koyo Chiba Private School,Private School,Chiba,Chiba,2008-11-04,Active
SCH00032,CLI0021,Koyo Funabashi Education Center,Education Center,Chiba,Funabashi,1984-05-11,Active
SCH00033,CLI0022,Mirai Tachikawa Public Elementary School,Public Elementary School,Tokyo,Tachikawa,2006-12-05,Active
SCH00034,CLI0023,Asahi Koshigaya English School,English School,Saitama,Koshigaya,2015-07-02,Active
SCH00035,CLI0023,Hikari Hachioji High School,High School,Tokyo,Hachioji,1996-10-14,Active
SCH00036,CLI0024,Midori Kashiwa Kindergarten,Kindergarten,Chiba,Kashiwa,1986-04-07,Active
SCH00037,CLI0024,Haruka Yokohama Private School,Private School,Kanagawa,Yokohama,2013-11-24,Active
SCH00038,CLI0025,Asahi Kawasaki Public Junior High School,Public Junior High School,Kanagawa,Kawasaki,1989-03-16,Active
SCH00039,CLI0025,Hikari Soka High School,High School,Saitama,Soka,1990-06-12,Active
SCH00040,CLI0026,Koyo Kawasaki English School,English School,Kanagawa,Kawasaki,2016-05-21,Active
SCH00041,CLI0026,Haruka Funabashi Private School,Private School,Chiba,Funabashi,2014-05-01,Active
SCH00042,CLI0027,Sakura Toda Public Elementary School,Public Elementary School,Saitama,Toda,2014-06-06,Active
SCH00043,CLI0028,Koyo Funabashi Kindergarten,Kindergarten,Chiba,Funabashi,1986-07-18,Inactive
SCH00044,CLI0028,Kizuna Itabashi Public Elementary School,Public Elementary School,Tokyo,Itabashi,2023-03-06,Active
SCH00045,CLI0028,Hikari Toda Kindergarten,Kindergarten,Saitama,Toda,1991-02-23,Active
SCH00046,CLI0029,Koyo Saitama Public Junior High School,Public Junior High School,Saitama,Saitama,2004-02-17,Active
SCH00047,CLI0030,Midori Ichikawa High School,High School,Chiba,Ichikawa,2012-10-11,Active
SCH00048,CLI0031,Tsubaki Yamato Private School,Private School,Kanagawa,Yamato,2018-03-18,Active
SCH00049,CLI0032,Koyo Funabashi Public Junior High School,Public Junior High School,Chiba,Funabashi,1980-06-05,Active
SCH00050,CLI0033,Midori Matsudo Education Center,Education Center,Chiba,Matsudo,2022-05-25,Active
SCH00051,CLI0033,Tsubaki Sagamihara Education Center,Education Center,Kanagawa,Sagamihara,1983-02-08,Active
SCH00052,CLI0034,Koyo Fujisawa High School,High School,Kanagawa,Fujisawa,2009-08-01,Active
SCH00053,CLI0035,Tsubaki Edogawa Kindergarten,Kindergarten,Tokyo,Edogawa,2023-06-10,Active
SCH00054,CLI0036,Hikari Fujisawa Private School,Private School,Kanagawa,Fujisawa,1980-09-09,Active
SCH00055,CLI0037,Midori Koganei High School,High School,Tokyo,Koganei,2010-10-14,Active
SCH00056,CLI0037,Mirai Kashiwa Private School,Private School,Chiba,Kashiwa,2019-06-20,Inactive
SCH00057,CLI0038,Sakura Kita Kindergarten,Kindergarten,Tokyo,Kita,1988-04-26,Active
SCH00058,CLI0039,Asahi Kita Education Center,Education Center,Tokyo,Kita,2021-07-08,Active
SCH00059,CLI0039,Mirai Urayasu Private School,Private School,Chiba,Urayasu,1995-07-24,Active
SCH00060,CLI0039,Midori Nerima Private School,Private School,Tokyo,Nerima,2011-02-03,Active
SCH00061,CLI0040,Koyo Funabashi Public Elementary School,Public Elementary School,Chiba,Funabashi,2003-11-18,Active
SCH00062,CLI0041,Tsubaki Yokohama Education Center,Education Center,Kanagawa,Yokohama,2016-08-01,Active
