training_record_id,employee_id,training_date,training_type,delivery_mode,trainer_employee_id,completion_status,result,training_notes
TRN000001,DUD100001,2023-02-11,Orientation,In Person,DUD100630,Completed,Passed,Initial training completed
TRN000002,DUD100001,2023-02-18,On-the-Job Training,In Person,DUD100805,Completed,Passed,Two-week initial training
TRN000003,DUD100001,2023-08-07,General Zoom Training,Zoom,DUD100220,Completed,Passed,Teaching ideas and classroom techniques
TRN000004,DUD100001,2023-11-09,General Zoom Training,Zoom,DUD100220,Completed,Passed,General teaching skills refresher
TRN000005,DUD100001,2024-01-17,General Zoom Training,Zoom,DUD100761,Completed,Passed,Reinforced classroom management
TRN000006,DUD100001,2024-04-06,General Zoom Training,Zoom,DUD100733,Completed,Passed,Reinforced classroom management
TRN000007,DUD100001,2024-07-02,General Zoom Training,Zoom,DUD101355,Completed,Passed,Reinforced classroom management
TRN000008,DUD100001,2024-09-21,General Zoom Training,Zoom,DUD100012,Completed,Passed,Reinforced communication and professionalism
TRN000009,DUD100001,2024-12-04,General Zoom Training,Zoom,DUD100290,Completed,Passed,Reinforced communication and professionalism
TRN000010,DUD100001,2025-07-30,General Zoom Training,Zoom,DUD100487,Completed,Passed,General teaching skills refresher
TRN000011,DUD100001,2025-11-01,General Zoom Training,Zoom,DUD101402,Completed,Passed,Reinforced communication and professionalism
TRN000012,DUD100002,2020-09-02,Orientation,In Person,DUD101176,Completed,Passed,Initial training completed
TRN000013,DUD100002,2020-09-09,On-the-Job Training,In Person,DUD101215,Completed,Passed,Two-week initial training
TRN000014,DUD100002,2020-12-04,General Zoom Training,Zoom,DUD101294,Completed,Passed,Reinforced communication and professionalism
TRN000015,DUD100002,2021-03-07,General Zoom Training,Zoom,DUD101176,Completed,Passed,Teaching ideas and classroom techniques
TRN000016,DUD100002,2021-05-15,General Zoom Training,Zoom,DUD101324,Completed,Passed,Reinforced classroom management
TRN000017,DUD100002,2021-08-09,General Zoom Training,Zoom,DUD100522,Completed,Passed,General teaching skills refresher
TRN000037,DUD100002,2021-09-18,Trainer School Visit,In Person,DUD101173,Completed,Passed,Performance observation and client-service support
TRN000018,DUD100002,2021-10-18,General Zoom Training,Zoom,DUD100335,Completed,Passed,Reinforced classroom management
TRN000019,DUD100002,2022-01-02,General Zoom Training,Zoom,DUD100750,Completed,Passed,Reinforced lesson preparation
TRN000020,DUD100002,2022-03-05,General Zoom Training,Zoom,DUD100216,Completed,Passed,Reinforced classroom management
TRN000021,DUD100002,2022-05-19,General Zoom Training,Zoom,DUD101208,Completed,Passed,Teaching ideas and classroom techniques
