visa_record_id,employee_id,visa_status,effective_date,end_date,work_authorization_status,verification_status
VISA000001,DUD000001,Permanent Resident,2019-11-15,,Eligible,Verified
VISA000002,DUD000002,Work Visa,2021-08-12,,Eligible,Verified
VISA000003,DUD000003,Permanent Resident,2021-10-06,,Eligible,Verified
VISA000004,DUD000004,Work Visa,2019-10-07,,Eligible,Verified
VISA000005,DUD000005,Spouse of Japanese National,2022-05-05,,Eligible,Verified
VISA000006,DUD000006,Work Visa,2021-05-18,,Eligible,Verified
VISA000007,DUD000007,Spouse of Japanese National,2022-10-22,,Eligible,Verified
VISA000008,DUD000008,Work Visa,2021-01-24,,Eligible,Verified
VISA000009,DUD000009,Long-Term Resident,2024-02-28,,Eligible,Verified
VISA000010,DUD000010,Permanent Resident,2022-05-24,,Eligible,Verified
VISA000011,DUD000011,Spouse of Japanese National,2024-01-28,,Eligible,Verified
VISA000012,DUD000012,Work Visa,2022-05-08,,Eligible,Verified
VISA000013,DUD000013,Spouse of Japanese National,2023-04-18,,Eligible,Verified
VISA000014,DUD000014,Work Visa,2021-05-05,,Eligible,Verified
VISA000015,DUD000015,Long-Term Resident,2019-07-28,,Eligible,Verified
VISA000016,DUD000016,Long-Term Resident,2020-03-04,,Eligible,Verified
VISA000017,DUD000017,Permanent Resident,2021-10-11,,Eligible,Verified
VISA000018,DUD000018,Spouse of Japanese National,2019-08-24,,Eligible,Verified
VISA000019,DUD000019,Work Visa,2022-12-31,,Eligible,Verified
VISA000020,DUD000020,Permanent Resident,2021-08-30,,Eligible,Verified
VISA000021,DUD000021,Permanent Resident,2020-04-27,,Eligible,Verified
VISA000022,DUD000022,Work Visa,2023-10-11,,Eligible,Verified
VISA000023,DUD000023,Long-Term Resident,2020-06-11,,Eligible,Verified
VISA000024,DUD000024,Long-Term Resident,2023-02-25,,Eligible,Verified
VISA000025,DUD000025,Permanent Resident,2023-06-10,,Eligible,Verified
VISA000026,DUD000026,Spouse of Japanese National,2019-08-18,,Eligible,Verified
VISA000027,DUD000027,Permanent Resident,2022-07-09,,Eligible,Verified
VISA000028,DUD000028,Permanent Resident,2022-11-12,,Eligible,Verified
VISA000029,DUD000029,Spouse of Japanese National,2020-06-10,,Eligible,Verified
VISA000030,DUD000030,Long-Term Resident,2023-03-11,,Eligible,Verified
VISA000031,DUD000031,Work Visa,2022-05-08,,Eligible,Verified
VISA000032,DUD000032,Spouse of Japanese National,2019-10-07,,Eligible,Verified
VISA000033,DUD000033,Long-Term Resident,2021-09-21,,Eligible,Verified
VISA000034,DUD000034,Long-Term Resident,2022-05-06,,Eligible,Verified
VISA000035,DUD000035,Permanent Resident,2019-10-28,,Eligible,Verified
VISA000036,DUD000036,Long-Term Resident,2021-02-09,,Eligible,Verified
VISA000037,DUD000037,Spouse of Japanese National,2020-05-13,,Eligible,Verified
VISA000038,DUD000038,Permanent Resident,2020-10-22,,Eligible,Verified
VISA000039,DUD000039,Permanent Resident,2020-09-25,,Eligible,Verified
VISA000040,DUD000040,Work Visa,2020-04-24,,Eligible,Verified
VISA000041,DUD000041,Permanent Resident,2022-12-19,,Eligible,Verified
VISA000042,DUD000042,Spouse of Japanese National,2020-04-27,,Eligible,Verified
VISA000043,DUD000043,Spouse of Japanese National,2021-08-28,,Eligible,Verified
VISA000044,DUD000044,Work Visa,2020-03-13,,Eligible,Verified
VISA000045,DUD000045,Permanent Resident,2019-07-04,,Eligible,Verified
VISA000046,DUD000046,Permanent Resident,2021-06-27,,Eligible,Verified
VISA000047,DUD000047,Long-Term Resident,2022-05-16,,Eligible,Verified
VISA000048,DUD000048,Work Visa,2023-06-25,,Eligible,Verified
VISA000049,DUD000049,Long-Term Resident,2020-10-19,,Eligible,Verified
VISA000050,DUD000050,Permanent Resident,2021-02-16,,Eligible,Verified
VISA000051,DUD000051,Spouse of Japanese National,2021-07-28,,Eligible,Verified
VISA000052,DUD000052,Work Visa,2021-05-19,,Eligible,Verified
VISA000053,DUD000053,Work Visa,2021-12-25,2025-04-27,Eligible,Verified
VISA000054,DUD000053,Spouse of Japanese National,2025-04-28,,Eligible,Verified
VISA000055,DUD000054,Spouse of Japanese National,2019-12-18,,Eligible,Verified
VISA000056,DUD000055,Spouse of Japanese National,2021-05-16,,Eligible,Verified
VISA000057,DUD000056,Spouse of Japanese National,2019-05-10,,Eligible,Verified
VISA000058,DUD000057,Permanent Resident,2022-09-24,,Eligible,Verified
VISA000059,DUD000058,Permanent Resident,2022-08-23,,Eligible,Verified
VISA000060,DUD000059,Spouse of Japanese National,2023-04-04,,Eligible,Verified
VISA000061,DUD000060,Work Visa,2021-04-28,,Eligible,Verified
VISA000062,DUD000061,Permanent Resident,2020-02-08,,Eligible,Verified
VISA000063,DUD000062,Permanent Resident,2024-01-09,,Eligible,Verified
VISA000064,DUD000063,Spouse of Japanese National,2019-05-29,,Eligible,Verified
VISA000065,DUD000064,Spouse of Japanese National,2023-03-07,,Pending,Verified
VISA000066,DUD000065,Permanent Resident,2021-12-01,,Eligible,Verified
VISA000067,DUD000066,Work Visa,2022-12-20,,Eligible,Verified
VISA000068,DUD000067,Long-Term Resident,2020-08-27,,Eligible,Verified
VISA000069,DUD000068,Spouse of Japanese National,2022-07-21,,Eligible,Verified
VISA000070,DUD000069,Permanent Resident,2023-03-21,,Eligible,Verified
VISA000071,DUD000070,Work Visa,2022-06-19,,Eligible,Verified
VISA000072,DUD000071,Work Visa,2021-06-29,2025-11-29,Eligible,Verified
VISA000073,DUD000071,Long-Term Resident,2025-11-30,,Eligible,Verified
VISA000074,DUD000072,Permanent Resident,2022-08-24,,Eligible,Verified
VISA000075,DUD000073,Long-Term Resident,2022-09-23,,Eligible,Verified
VISA000076,DUD000074,Permanent Resident,2022-05-05,,Eligible,Verified
VISA000077,DUD000075,Permanent Resident,2020-10-31,,Pending,Verified
VISA000078,DUD000076,Spouse of Japanese National,2022-04-20,,Eligible,Verified
VISA000079,DUD000077,Permanent Resident,2023-11-14,,Eligible,Verified
VISA000080,DUD000078,Permanent Resident,2022-04-10,,Eligible,Verified
VISA000081,DUD000079,Long-Term Resident,2023-01-10,,Eligible,Verified
VISA000082,DUD000080,Work Visa,2022-07-12,,Eligible,Verified
VISA000083,DUD000081,Spouse of Japanese National,2021-02-04,,Eligible,Verified
VISA000084,DUD000082,Long-Term Resident,2019-11-24,,Eligible,Verified
VISA000085,DUD000083,Work Visa,2023-06-28,,Eligible,Verified
VISA000086,DUD000084,Spouse of Japanese National,2021-12-18,,Eligible,Verified
VISA000087,DUD000085,Long-Term Resident,2021-11-01,,Eligible,Verified
VISA000088,DUD000086,Permanent Resident,2022-05-03,,Eligible,Verified
